Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
20055;Arrasate/Mondragón;10,35;8,56;9,60;8,69;8,63;12,05;13,97;14,52;13,26;11,78
48914;Arratzu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,25
01008;Arratzua-Ubarrundia;2,44;2,94;0,00;0,00;5,26;2,94;6,67;7,14;8,70;6,90
48010;Arrieta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,26;4,76
48011;Arrigorriaga;8,30;7,32;8,99;8,64;8,15;8,87;12,43;12,13;15,84;13,76
48023;Artea;6,38;8,33;5,41;2,50;3,23;3,12;4,76;4,55;3,45;5,13
48008;Artzentales;12,50;16,67;11,11;4,55;0,00;6,67;5,26;0,00;0,00;0,00
01004;Artziniega;11,02;6,90;13,59;14,29;8,57;11,97;10,58;11,25;12,64;10,00
01009;Asparrena;5,37;7,05;6,37;7,74;4,20;6,30;7,83;11,32;18,89;13,00
20014;Asteasu;1,90;2,20;4,40;8,33;5,05;5,13;6,56;7,69;5,26;3,28
20903;Astigarraga;4,06;3,77;3,43;5,96;6,19;7,06;5,65;3,72;3,86;2,49
20015;Ataun;2,90;0,83;5,05;3,64;2,04;1,96;2,41;2,33;3,57;0,00
48091;Atxondo;12,09;10,71;8,86;5,81;5,56;5,75;5,95;2,82;11,32;8,51
48070;Aulesti;6,90;3,70;3,85;0,00;0,00;4,35;5,26;0,00;11,11;12,50
01010;Ayala/Aiara;0,00;0,00;0,00;0,00;6,00;0,00;0,00;4,35;2,22;4,08
20017;Azkoitia;7,13;7,28;7,93;8,23;7,48;8,63;10,79;11,73;11,29;9,43
20018;Azpeitia;9,56;7,52;8,76;9,49;8,79;10,00;10,48;11,95;11,73;12,72
01049;Añana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48012;Bakio;8,33;9,68;7,43;9,09;9,22;8,57;13,39;9,84;10,20;7,92
20904;Baliarrain;0,00;0,00;0,00;8,33;11,11;12,50;12,50;0,00;0,00;0,00
48090;Balmaseda;11,86;10,24;11,76;12,93;9,77;11,93;12,45;12,19;14,49;14,07
48013;Barakaldo;7,58;6,81;8,37;9,04;8,93;10,56;13,33;14,90;15,90;16,27
48014;Barrika;1,94;2,08;2,20;2,63;4,69;2,00;2,04;2,00;4,00;3,70
01013;Barrundia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,86;6,45
48015;Basauri;7,70;7,00;8,40;8,63;8,09;9,36;11,43;12,54;14,19;15,31
01011;Baños de Ebro/Mañueta;4,23;3,03;2,94;5,26;2,99;1,41;1,96;4,55;2,56;2,70
20019;Beasain;3,70;2,57;2,85;3,28;2,95;3,59;3,67;4,70;3,81;4,71
48092;Bedia;10,71;14,08;7,46;2,90;7,69;10,20;4,76;10,26;6,82;10,00
20020;Beizama;100,00;50,00;0,00;33,33;20,00;0,00;0,00;0,00;0,00;0,00
20021;Belauntza;0,00;0,00;0,00;0,00;7,14;0,00;0,00;12,50;10,00;7,69
48016;Berango;4,73;5,05;5,23;6,75;7,34;7,38;8,83;7,23;7,27;7,05
01014;Berantevilla;1,79;2,08;2,22;0,00;0,00;2,22;3,33;5,56;9,68;9,76
20022;Berastegi;0,00;0,00;0,00;5,56;0,00;0,00;0,00;0,00;0,00;0,00
20074;Bergara;7,51;6,90;7,48;6,77;5,56;7,77;9,92;11,20;10,25;9,33
48017;Bermeo;6,98;6,71;7,75;8,89;9,03;9,95;9,99;11,04;11,99;13,88
01016;Bernedo;9,09;7,41;3,45;13,64;8,33;4,00;6,67;0,00;13,33;0,00
48018;Berriatua;2,21;1,76;1,73;2,26;3,16;8,43;7,14;8,82;15,69;13,42
48019;Berriz;5,96;6,11;7,02;8,01;7,34;9,56;13,50;13,24;12,96;14,16
