"Indicadores municipales de sostenibilidad: Tasa de afiliación a la seguridad social por municipio de residencia: población 16-24 años (%habitantes) ";;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
20012;Arama;24,00;28,00;20,00;31,82;25,00;25,00;25,00;28,57;22,22;25,00;28,57;37,50
01003;Aramaio;23,90;29,87;20,00;24,31;25,56;29,63;25,20;21,43;14,04;13,16;15,38;18,42
48006;Arantzazu;14,63;16,67;5,88;8,00;5,00;5,00;0,00;11,76;15,38;16,67;23,81;23,81
48093;Areatza;26,19;17,50;19,17;15,04;21,37;20,18;18,00;19,39;14,29;4,94;6,90;19,10
20013;Aretxabaleta;27,86;24,69;25,37;24,91;24,54;23,11;24,34;24,39;18,48;16,30;16,39;21,41
01006;Armiñón;26,09;16,67;7,14;30,00;9,09;18,18;9,09;9,09;13,33;27,27;42,86;20,00
01037;Arraia-Maeztu;18,00;13,33;15,79;36,67;21,88;26,92;25,93;28,12;40,00;17,86;35,71;27,27
48009;Arrankudiaga;26,04;21,59;19,28;23,33;23,08;19,51;11,63;13,70;9,09;8,45;5,97;17,39
20055;Arrasate/Mondragón;27,63;26,32;25,44;28,92;26,80;27,08;24,16;23,15;18,40;20,11;16,79;22,34
48914;Arratzu;28,00;18,52;0,00;0,00;0,00;0,00;0,00;5,88;19,05;18,75;16,67;10,00
01008;Arratzua-Ubarrundia;36,73;32,08;26,36;34,48;23,14;20,54;17,35;16,28;10,31;11,11;16,47;25,68
48010;Arrieta;33,33;30,77;22,22;20,00;19,64;17,54;11,36;17,78;11,36;17,50;17,14;17,24
48011;Arrigorriaga;25,04;21,21;18,32;21,86;19,23;17,49;16,78;14,81;12,81;12,62;13,06;14,00
48023;Artea;30,67;19,70;9,52;28,30;35,85;26,00;16,67;12,00;3,77;6,25;8,89;3,85
48008;Artzentales;29,03;27,03;21,62;37,14;37,14;27,91;20,51;20,45;15,91;19,15;20,93;17,11
01004;Artziniega;25,42;17,28;14,19;15,75;14,57;19,53;15,52;14,52;14,88;15,93;23,58;22,31
01009;Asparrena;36,18;29,45;23,23;28,37;24,22;19,55;24,22;19,84;16,00;17,80;18,90;16,53
20014;Asteasu;41,27;31,18;21,26;26,32;25,93;28,10;26,62;35,25;34,17;35,96;32,65;31,96
20903;Astigarraga;31,97;27,72;28,37;29,73;28,40;32,79;33,24;28,49;26,21;21,17;18,42;20,50
20015;Ataun;47,50;46,36;44,62;48,76;52,00;56,64;44,34;45,92;43,53;35,00;48,68;55,70
48091;Atxondo;36,08;32,65;35,71;31,73;28,16;35,78;32,65;33,33;20,72;21,62;20,00;34,31
48070;Aulesti;7,81;8,93;7,27;12,50;13,79;12,00;16,67;9,76;2,63;5,56;2,86;6,67
01010;Ayala/Aiara;26,15;23,64;21,49;18,10;23,47;23,08;18,68;21,43;21,55;17,88;24,06;33,92
20017;Azkoitia;30,52;27,31;26,22;27,97;28,00;26,37;24,10;21,69;18,59;17,75;18,73;21,05
20018;Azpeitia;30,44;28,36;26,69;29,42;28,85;28,23;25,55;27,00;19,59;19,48;22,01;27,80
01049;Añana;0,00;25,00;14,29;25,00;25,00;33,33;33,33;13,33;0,00;11,76;16,67;25,00
48012;Bakio;15,86;14,42;8,59;13,61;17,44;9,88;8,00;5,59;8,70;15,94;12,41;13,64
20904;Baliarrain;25,00;7,14;23,08;18,18;14,29;40,00;25,00;44,44;22,22;25,00;14,29;33,33
48090;Balmaseda;24,09;21,61;16,19;21,21;20,57;19,38;17,95;16,07;15,90;12,77;15,67;18,75
48013;Barakaldo;24,51;21,98;18,51;22,72;22,32;21,63;20,47;19,18;17,43;17,03;17,70;22,53
48014;Barrika;22,97;20,98;15,94;11,81;12,06;10,61;13,85;9,84;11,71;8,33;7,29;6,45
01013;Barrundia;28,00;26,53;11,24;10,71;12,35;14,10;21,43;15,79;19,64;14,58;16,00;21,74
48015;Basauri;25,42;21,70;18,12;21,92;21,41;19,59;18,58;17,17;15,14;14,60;17,90;21,74
01011;Baños de Ebro/Mañueta;24,14;17,65;13,89;8,82;11,11;21,21;13,33;10,34;10,34;10,34;37,50;366,67
20019;Beasain;27,68;27,65;22,88;26,98;25,50;25,56;22,88;22,03;20,78;20,60;19,12;23,79
48092;Bedia;33,33;22,47;14,46;13,04;25,86;20,31;32,31;26,47;27,54;13,89;17,91;21,21
20020;Beizama;50,00;112,50;66,67;70,00;45,45;33,33;25,00;40,00;54,55;33,33;37,50;40,00
20021;Belauntza;29,63;30,77;18,52;20,00;26,32;27,78;28,57;14,29;6,25;20,00;28,57;46,15
48016;Berango;21,38;16,13;13,96;15,95;15,77;15,26;16,14;15,73;15,43;14,77;15,07;20,80
01014;Berantevilla;19,15;26,83;22,50;26,47;24,14;16,67;16,67;12,12;7,41;8,00;9,09;16,00
20022;Berastegi;44,64;34,82;38,53;38,61;38,00;35,05;35,48;28,72;27,84;24,73;28,09;34,57
20074;Bergara;26,47;26,40;23,14;24,82;26,31;22,28;21,90;18,90;16,14;15,33;13,83;17,83
48017;Bermeo;19,20;17,55;13,77;16,36;16,80;16,91;14,02;14,17;14,69;13,59;13,26;18,08
01016;Bernedo;15,15;14,29;13,51;24,14;22,58;15,15;13,79;10,00;9,68;12,50;14,63;22,86
48018;Berriatua;19,66;17,71;16,47;19,23;27,94;16,18;18,06;17,91;27,14;18,31;17,95;22,09
48019;Berriz;21,46;19,76;20,43;22,80;27,51;24,84;24,92;24,67;20,62;15,91;16,72;25,14
20023;Berrobi;26,42;15,09;24,49;32,00;21,74;28,57;27,08;30,43;14,89;24,53;31,03;39,06
20024;Bidania-Goiatz;49,09;44,64;37,50;31,03;34,62;25,00;43,75;38,46;32,56;20,45;27,27;34,04
48020;Bilbao;24,74;20,66;17,15;20,99;19,41;18,34;16,89;15,80;14,50;13,58;14,64;17,90
48021;Busturia;21,01;19,55;11,19;18,60;14,91;15,45;13,33;13,54;8,54;10,71;12,99;13,41
01017;Campezo/Kanpezu;26,53;25,58;15,85;24,68;39,44;37,31;32,35;20,55;20,00;28,12;12,33;18,57
20029;Deba;26,05;21,91;21,07;24,75;23,55;21,26;21,92;20,58;16,94;13,27;14,18;16,79
48901;Derio;25,04;21,76;15,94;23,01;18,82;20,58;21,45;18,75;15,43;17,12;19,03;17,46
48026;Dima;25,00;23,31;15,50;25,00;28,70;21,24;19,30;13,89;9,35;8,08;8,05;14,29
20069;Donostia / San Sebastián;27,70;22,98;19,17;23,28;21,53;19,67;18,05;17,23;14,85;13,67;13,89;17,42
48027;Durango;26,01;21,26;17,59;20,84;21,13;20,39;19,30;17,23;14,12;13,62;12,69;15,08
48028;Ea;10,42;15,56;9,09;15,22;10,87;12,24;8,00;13,64;15,22;17,02;31,37;26,32
20030;Eibar;26,33;24,21;21,18;25,05;25,79;24,17;20,79;19,31;15,92;16,16;15,34;20,05
48031;Elantxobe;26,67;6,67;16,67;15,38;22,22;18,18;30,77;11,11;27,27;17,65;4,76;21,05
01021;Elburgo/Burgelu;31,82;22,58;22,03;28,07;26,42;34,00;31,48;29,09;27,66;16,28;20,00;25,00
01022;Elciego;22,99;20,25;15,79;18,39;20,48;14,77;15,00;13,70;11,76;6,67;13,56;42,59
20031;Elduain;37,50;28,57;12,00;41,67;20,00;33,33;35,71;50,00;22,22;36,36;30,00;18,18
20033;Elgeta;32,22;19,54;13,75;25,00;24,68;20,51;25,64;25,93;10,00;11,76;15,91;19,78
20032;Elgoibar;26,42;24,16;20,77;26,33;22,74;21,43;21,55;21,46;19,26;16,69;17,84;18,57
48032;Elorrio;28,47;24,19;22,88;25,00;23,67;21,89;18,93;20,41;18,29;16,70;17,94;21,31
01023;Elvillar/Bilar;33,33;15,62;17,14;25,81;16,67;15,15;23,08;26,09;23,08;26,92;28,57;36,36
48902;Erandio;24,31;18,91;19,21;23,14;23,11;22,34;19,75;21,15;16,97;16,29;16,79;21,84
48033;Ereño;23,53;26,32;11,11;27,78;18,75;5,88;17,65;5,88;0,00;7,69;18,75;37,50
48034;Ermua;25,68;22,48;18,43;22,17;23,13;24,66;26,52;22,41;15,73;14,79;15,55;22,04
20067;Errenteria;30,45;28,92;24,72;27,65;27,24;25,68;22,60;20,82;18,23;17,59;18,50;21,71
20066;Errezil;45,90;54,10;40,35;43,33;30,91;26,92;32,69;39,22;33,33;22,92;23,40;29,79
01046;Erriberagoitia/Ribera Alta;22,50;17,11;19,74;18,46;8,33;8,70;15,38;21,28;13,46;15,00;30,23;16,36
48079;Errigoiti;17,14;17,65;21,88;33,33;32,26;39,29;25,81;17,24;16,67;6,90;10,00;3,85
20034;Eskoriatza;32,00;24,58;23,42;29,97;28,17;23,60;22,48;18,92;15,54;17,20;18,42;29,74
48029;Etxebarri;22,29;20,85;19,16;21,00;18,84;20,54;17,76;16,88;18,34;17,65;21,12;24,41
48030;Etxebarria;57,14;50,00;33,85;28,17;44,44;28,92;33,33;24,68;20,78;24,68;29,17;31,34
20035;Ezkio-Itsaso;29,51;29,09;26,92;25,00;26,09;34,78;22,92;28,57;13,89;16,22;13,95;11,36
48906;Forua;26,58;23,75;30,49;20,99;22,37;15,58;15,71;10,14;13,75;18,18;20,55;20,90
48035;Fruiz;10,00;20,41;18,37;15,56;8,89;8,89;14,29;20,69;19,23;6,67;12,00;11,11
20038;Gabiria;27,94;16,67;17,74;19,64;22,64;17,65;12,24;23,81;22,22;20,83;10,42;10,87
20037;Gaintza;60,00;22,22;40,00;42,86;12,50;0,00;11,11;22,22;22,22;57,14;12,50;14,29
48036;Galdakao;27,76;23,15;18,27;21,65;21,76;21,53;18,08;15,24;14,32;12,02;13,35;17,50
48037;Galdames;25,45;16,98;17,86;18,52;15,91;23,08;21,62;22,86;17,14;10,53;9,09;10,87
48038;Gamiz-Fika;34,91;24,58;21,26;21,26;24,81;16,54;17,48;13,67;15,62;11,48;14,04;16,24
48039;Garai;11,43;9,38;14,81;18,52;24,00;18,18;25,00;0,00;11,11;18,75;0,00;7,14
48040;Gatika;21,82;19,61;13,21;19,73;16,42;18,52;14,88;19,63;7,62;13,13;18,63;16,84
48041;Gautegiz Arteaga;25,00;22,35;23,17;18,60;25,30;17,07;14,47;6,98;8,00;6,85;6,25;13,04
20907;Gaztelu;33,33;41,18;15,00;26,67;12,50;16,67;7,69;0,00;0,00;22,22;27,27;40,00
48046;Gernika-Lumo;22,30;18,87;17,17;21,79;19,50;19,45;17,52;18,06;13,62;11,36;12,54;16,06
20039;Getaria;33,09;35,88;30,00;39,02;39,21;34,56;27,68;18,63;15,70;16,45;17,62;23,35
48044;Getxo;21,44;16,96;14,69;17,36;16,32;15,78;14,22;14,36;12,38;11,73;11,69;14,13
48047;Gizaburuaga;20,00;23,81;13,64;5,26;7,14;9,09;10,00;10,00;7,14;20,00;12,50;6,67
48042;Gordexola;17,61;21,77;20,83;18,37;14,07;10,74;6,60;16,51;15,79;16,22;21,62;27,78
48043;Gorliz;16,45;15,61;12,52;18,06;16,73;17,36;15,54;14,25;12,41;11,76;10,44;10,44
48045;Güeñes;24,52;20,40;20,22;24,18;27,78;24,41;21,65;19,70;16,23;12,59;17,28;21,26
01056;Harana/Valle de Arana;0,00;21,43;23,08;11,11;12,50;20,00;27,27;41,67;42,86;30,77;30,00;45,45
20040;Hernani;33,81;29,23;23,68;31,22;30,69;26,42;22,49;20,32;20,36;17,67;17,18;20,82
20041;Hernialde;27,50;10,53;8,33;9,68;30,00;50,00;17,65;25,00;26,09;34,78;28,00;30,00
20036;Hondarribia;24,62;21,77;17,66;22,14;20,82;20,43;17,43;17,15;15,11;12,66;12,11;14,73
20042;Ibarra;32,80;25,07;18,31;24,93;28,29;28,32;28,61;22,48;21,26;18,84;21,26;25,21
48048;Ibarrangelu;3,92;15,56;7,69;12,82;6,45;3,12;3,03;11,76;12,50;0,00;5,56;2,86
20043;Idiazabal;26,27;25,00;22,06;22,16;26,44;21,74;20,25;23,65;26,14;20,78;19,61;26,62
48094;Igorre;24,42;21,30;16,87;16,56;20,00;23,85;20,99;19,78;17,88;16,56;18,15;19,89
20044;Ikaztegieta;29,55;31,11;15,22;21,62;22,73;23,08;17,02;19,15;21,74;21,95;19,51;17,65
20045;Irun;30,70;26,35;21,56;26,00;25,17;23,32;21,38;19,46;16,78;16,22;17,34;21,20
20046;Irura;28,79;22,70;26,04;26,67;25,34;28,10;29,37;18,05;20,51;13,76;16,19;20,62
01027;Iruraiz-Gauna;28,57;34,48;20,75;30,61;27,66;20,45;13,95;5,41;13,51;17,14;24,24;36,11
01901;Iruña Oka/Iruña de Oca;30,71;23,71;19,61;26,46;23,33;27,78;21,91;24,90;17,18;18,01;20,28;23,26
48049;Ispaster;22,06;11,86;21,05;15,09;10,26;5,88;2,94;9,68;12,90;14,29;11,76;8,11
20047;Itsasondo;29,31;17,54;25,93;26,67;26,92;27,59;21,15;21,57;7,55;8,89;4,65;16,22
48910;Iurreta;25,43;23,44;21,21;21,74;26,38;23,08;24,79;18,22;15,45;11,24;12,64;17,76
48050;Izurtza;3,33;9,09;0,00;2,70;8,82;10,71;36,36;10,00;29,41;16,67;10,00;10,26
48022;Karrantza Harana/Valle de Carranza;29,35;17,80;14,15;16,20;16,26;18,45;13,33;13,50;18,18;16,58;17,17;18,78
48907;Kortezubi;21,43;17,14;22,22;21,88;15,62;24,24;13,79;15,38;3,70;19,35;16,13;24,14
01019;Kripan;36,36;19,05;9,09;14,29;20,83;44,44;29,41;25,00;12,50;28,57;28,57;53,85
01020;Kuartango;33,33;27,27;46,15;41,67;20,00;38,46;50,00;41,67;15,38;18,18;30,77;13,33
01028;Labastida/Bastida;20,55;15,67;14,39;16,41;17,42;13,28;5,97;8,26;8,80;8,20;6,14;15,25
01030;Lagrán;60,00;100,00;28,57;28,57;0,00;25,00;22,22;0,00;14,29;40,00;20,00;14,29
01031;Laguardia;27,48;20,00;16,98;23,64;19,23;15,04;22,64;21,82;21,05;18,55;25,71;46,27
01032;Lanciego/Lantziego;22,00;13,73;17,39;9,62;23,40;13,79;14,55;7,84;12,28;17,74;17,86;45,45
48051;Lanestosa;26,67;23,53;14,29;23,53;13,33;5,56;11,11;20,00;0,00;21,43;11,11;11,76
01902;Lantarón;13,33;9,59;12,12;17,54;18,52;20,41;9,38;14,29;8,47;7,02;10,00;8,47
01033;Lapuebla de Labarca;27,27;10,59;10,13;12,66;18,31;18,46;11,67;3,23;7,69;11,11;19,30;63,79
48052;Larrabetzu;29,76;23,79;15,08;18,48;18,59;16,06;16,28;19,70;18,49;18,55;19,47;19,17
20048;Larraul;31,71;36,84;30,00;46,15;24,00;45,83;46,15;23,08;23,08;38,10;22,22;23,53
20902;Lasarte-Oria;29,42;25,31;20,99;26,06;27,54;24,66;26,21;25,75;23,84;22,79;23,99;26,52
01036;Laudio/Llodio;25,07;22,60;18,42;22,97;22,37;21,66;20,55;19,73;15,99;14,53;17,00;21,27
48053;Laukiz;22,98;17,28;12,99;12,86;9,38;8,06;10,81;10,17;8,57;8,42;12,37;12,50
