Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia: Mujeres (% mujeres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48003;Amorebieta-Etxano;51,89;49,98;48,62;49,18;48,43;48,36;46,85;46,05;44,93;43,02;43,51;44,31;42,66;41,95
48004;Amoroto;51,59;46,01;44,64;42,61;40,59;41,62;41,95;43,98;40,36;40,00;40,74;47,80;45,06;40,61
01002;Amurrio;48,96;46,82;45,67;47,68;46,34;45,78;44,97;43,38;41,97;42,17;42,92;43,59;41,84;41,81
20009;Andoain;50,30;49,06;47,26;49,21;48,00;46,53;45,55;44,45;44,38;42,97;42,80;43,14;41,69;41,04
20010;Anoeta;54,80;52,12;52,41;54,53;50,24;50,06;46,71;47,39;45,48;43,42;45,59;47,24;44,96;45,55
20011;Antzuola;55,18;53,05;53,20;55,33;53,12;52,73;50,93;47,79;47,79;45,62;43,46;43,71;40,62;39,44
48005;Arakaldo;41,43;40,58;37,88;38,98;44,64;33,33;31,03;34,55;21,82;30,61;30,95;31,71;22,73;17,07
20012;Arama;56,10;51,14;47,78;52,27;48,84;45,35;44,58;44,44;40,74;43,90;40,00;48,68;42,50;38,27
01003;Aramaio;51,95;51,08;50,74;51,54;54,10;50,94;49,83;50,17;48,46;51,31;50,09;48,64;46,35;45,52
48006;Arantzazu;44,58;42,20;41,86;37,28;38,79;36,81;31,74;38,36;34,59;36,08;34,62;31,85;29,11;31,25
48093;Areatza;48,35;46,52;43,19;44,69;46,23;44,91;45,30;44,08;42,33;42,13;40,60;37,69;35,77;36,58
20013;Aretxabaleta;50,15;49,29;48,42;49,36;49,01;49,42;50,00;51,55;50,78;50,38;49,42;51,65;51,47;49,30
01006;Armiñón;50,54;43,62;43,96;43,48;41,76;40,00;30,85;31,63;34,69;30,30;25,00;27,37;22,68;27,37
01037;Arraia-Maeztu;43,87;39,14;39,60;47,94;38,83;37,45;36,63;38,15;40,37;40,88;40,21;38,83;37,72;38,30
48009;Arrankudiaga;49,41;47,20;44,58;50,12;47,04;46,32;45,65;42,23;41,02;37,90;36,17;40,53;35,24;35,91
20055;Arrasate/Mondragón;47,10;46,47;45,51;45,62;44,78;44,40;44,06;43,12;43,10;44,39;45,08;47,69;47,28;47,17
48914;Arratzu;42,08;39,04;40,78;40,45;40,91;40,00;40,12;38,73;37,57;39,88;40,88;39,63;39,76;35,80
01008;Arratzua-Ubarrundia;53,92;45,45;42,56;50,38;50,89;50,00;45,22;48,96;47,41;45,76;46,61;46,94;45,12;45,60
48010;Arrieta;51,65;50,42;51,06;47,39;45,04;45,99;44,87;46,32;39,39;40,60;44,64;46,82;42,53;35,06
48011;Arrigorriaga;48,07;46,21;44,71;44,21;43,91;42,56;41,35;40,20;39,38;38,07;38,43;36,89;36,10;35,14
48023;Artea;47,52;42,81;42,17;44,70;46,95;42,68;39,01;36,53;39,01;37,89;38,34;35,45;35,93;34,53
48008;Artzentales;42,12;37,71;39,19;39,93;38,91;39,52;39,93;38,67;35,67;33,33;31,00;35,12;34,97;32,38
01004;Artziniega;48,98;45,28;44,30;47,21;45,25;45,91;44,14;40,31;40,70;39,61;39,11;40,49;37,37;35,37
01009;Asparrena;43,37;38,46;39,29;42,28;43,66;43,05;41,57;42,07;40,30;39,79;38,17;38,10;39,89;38,52
20014;Asteasu;61,53;57,38;56,78;54,63;51,08;51,53;53,83;53,11;54,88;54,97;53,10;51,72;48,28;47,08
20903;Astigarraga;57,18;55,53;54,11;55,20;54,09;53,82;54,31;52,74;49,51;46,57;46,55;46,47;44,30;43,46
20015;Ataun;100,30;95,07;91,13;95,08;89,97;89,01;86,36;81,54;78,46;72,12;71,76;69,28;65,91;66,41
48091;Atxondo;49,58;49,66;53,04;52,30;52,41;51,20;49,31;49,41;47,71;47,47;46,67;45,65;44,54;43,86
48070;Aulesti;16,61;16,20;16,67;15,44;15,14;14,23;12,41;13,26;11,83;11,83;11,91;12,50;11,66;10,10
01010;Ayala/Aiara;54,64;51,92;50,46;49,75;49,83;50,30;49,36;47,01;46,50;43,68;42,23;43,00;37,84;38,30
20017;Azkoitia;51,97;50,66;49,92;50,42;48,02;46,30;45,24;43,58;42,03;40,82;40,32;42,13;38,94;38,27
20018;Azpeitia;52,88;50,82;50,35;50,51;49,94;49,14;47,41;46,33;44,05;42,90;43,54;46,09;43,71;43,57
01049;Añana;31,67;33,33;26,56;38,89;41,82;40,68;32,26;34,38;39,06;28,36;34,38;33,33;28,38;26,32
48012;Bakio;43,32;41,21;40,22;41,84;41,47;40,06;38,12;38,64;37,51;36,19;33,30;32,19;31,03;30,92
20904;Baliarrain;64,00;55,56;53,57;53,85;56,86;53,06;34,00;43,64;40,00;44,90;50,00;54,00;45,10;51,02
