Indicadores municipales de sostenibilidad: Hombres parados de larga duración registrados en LANBIDE (% Hombres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
20016;Aia;0,99;0,72;1,34;0,90;1,49;1,62;1,32;1,60;1,62;1,78;1,62;1,85;1,98;3,12;1,08;0,88;0,73
20003;Aizarnazabal;2,42;1,76;0,87;3,00;2,12;2,10;1,63;1,90;3,10;3,95;5,10;3,83;4,21;3,75;1,22;1,87;0,78
48911;Ajangiz;0,66;1,92;1,29;1,28;2,00;1,32;2,58;1,29;1,26;1,92;0,62;0,00;0,65;0,63;0,00;0,00;0,68
20004;Albiztur;0,00;0,00;0,00;3,45;1,11;1,06;2,20;1,12;1,10;2,08;1,08;0,00;0,00;0,97;1,10;0,93;1,02
20005;Alegia;2,75;2,38;2,70;3,34;2,90;3,16;4,17;3,19;5,79;7,27;6,08;4,55;3,75;3,29;1,50;1,16;1,36
01001;Alegría-Dulantzi;2,80;2,94;3,19;3,50;2,21;2,60;2,97;3,20;3,80;4,34;4,22;4,19;2,66;1,65;0,69;0,11;0,24
20006;Alkiza;0,92;0,87;1,79;1,85;1,85;1,89;1,87;1,83;0,93;4,31;0,84;1,59;0,79;0,83;1,69;0,00;0,83
48912;Alonsotegi;4,70;6,20;5,85;5,08;3,99;6,24;6,37;7,56;8,74;7,87;8,86;7,86;5,51;3,20;2,25;1,75;2,06
20906;Altzaga;1,89;2,00;0,00;5,13;0,00;2,00;1,96;2,00;2,17;2,13;2,00;1,96;1,96;1,82;1,82;0,00;1,69
20007;Altzo;2,22;0,72;1,49;1,50;3,82;1,47;2,50;2,48;3,42;3,39;5,26;4,07;4,84;2,82;2,38;0,68;2,94
20008;Amezketa;2,31;3,22;4,14;3,37;3,67;2,72;1,98;1,63;3,69;3,79;2,27;2,83;1,23;1,46;1,10;0,28;0,30
48003;Amorebieta-Etxano;1,96;2,15;2,40;2,51;1,72;2,16;2,25;2,88;3,64;4,41;3,93;3,33;2,82;2,54;1,45;0,43;0,71
48004;Amoroto;0,00;2,21;1,45;1,45;0,78;0,75;1,50;0,72;0,71;1,47;1,46;2,13;1,42;0,67;0,00;0,00;1,52
01002;Amurrio;3,80;3,63;4,11;4,85;3,88;3,04;4,33;4,42;5,00;5,68;5,03;4,14;2,71;2,29;1,49;0,77;0,88
20009;Andoain;2,63;2,62;3,05;2,97;2,37;2,54;3,05;3,54;3,98;4,44;4,77;3,78;3,39;3,53;2,02;1,29;1,09
20010;Anoeta;0,99;0,72;2,00;2,43;1,47;1,00;3,11;2,20;3,02;3,52;4,07;4,26;2,95;2,64;1,59;1,37;1,56
20011;Antzuola;1,88;1,30;1,02;1,48;1,01;1,02;0,58;1,16;1,86;2,99;2,61;1,62;1,78;1,64;1,07;0,13;0,52
48005;Arakaldo;5,97;1,52;0,00;1,59;0,00;1,59;1,79;0,00;0,00;5,66;2,08;0,00;2,33;0,00;0,00;0,00;0,00
20012;Arama;0,00;0,00;0,00;0,00;3,23;1,59;0,00;0,00;3,28;1,59;0,00;3,17;3,33;0,00;0,00;0,00;0,00
01003;Aramaio;0,22;0,64;1,24;1,26;1,06;1,64;0,40;1,81;1,57;1,73;1,57;0,58;0,77;1,78;1,53;0,39;0,56
