Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Servicios (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20013;Aretxabaleta;59,85;59,32;58,90;57,91;57,89;57,10;57,56;57,96;52,71;51,18;49,95
01006;Armiñón;61,82;59,00;60,87;56,67;53,85;55,17;50,72;50,72;48,61;47,22;44,78
01037;Arraia-Maeztu;59,60;54,23;56,16;57,19;55,00;52,76;53,52;52,71;53,01;50,98;50,37
48009;Arrankudiaga;76,53;77,33;76,78;77,72;74,93;76,55;74,66;73,31;75,07;72,40;73,12
20055;Arrasate/Mondragón;64,37;64,24;64,29;63,42;63,63;63,59;64,03;63,77;59,42;56,42;55,36
48914;Arratzu;74,03;73,47;72,60;72,11;70,95;70,34;71,13;70,50;69,85;69,40;68,38
01008;Arratzua-Ubarrundia;69,70;67,61;67,68;66,67;66,67;67,65;65,80;66,00;65,92;64,08;62,97
48010;Arrieta;75,30;74,69;75,85;74,89;73,82;73,78;74,34;74,67;73,04;72,14;70,79
48011;Arrigorriaga;78,88;78,70;77,63;77,15;77,15;77,31;76,77;76,61;76,60;75,63;74,20
48023;Artea;72,17;72,56;73,31;69,89;73,49;71,59;71,92;71,98;72,83;72,97;71,71
48008;Artzentales;69,32;67,89;69,38;69,40;68,66;69,96;70,43;70,61;67,49;65,20;63,30
01004;Artziniega;70,06;67,72;67,46;67,18;67,18;66,94;66,06;65,26;65,60;63,90;63,33
01009;Asparrena;59,91;62,31;59,93;57,22;56,09;55,19;52,84;50,66;48,63;46,64;44,72
20014;Asteasu;60,98;59,17;58,79;58,03;58,54;58,48;57,68;57,62;58,12;58,25;56,45
20903;Astigarraga;77,03;76,32;75,95;76,10;76,18;76,32;75,61;75,05;73,89;72,40;71,66
20015;Ataun;62,32;61,16;60,11;60,82;60,97;61,22;61,00;60,96;59,45;57,36;56,85
48091;Atxondo;61,49;61,08;62,77;61,22;61,03;59,59;59,87;60,19;60,53;59,90;57,48
48070;Aulesti;66,67;62,96;65,38;65,38;63,16;56,76;51,95;53,25;53,52;52,24;46,67
01010;Ayala/Aiara;60,36;58,88;57,57;56,79;57,06;57,44;57,27;55,98;56,23;55,47;53,18
20017;Azkoitia;60,05;59,75;60,41;59,23;58,47;58,10;58,11;57,14;56,77;55,78;54,18
20018;Azpeitia;61,43;60,72;61,38;60,53;60,86;60,70;60,78;59,46;58,87;57,31;54,94
01049;Añana;69,57;73,33;70,73;72,92;68,52;68,42;64,71;57,69;58,82;50,00;53,85
48012;Bakio;80,17;80,00;79,18;79,06;77,78;77,93;77,18;77,62;76,82;76,48;75,23
20904;Baliarrain;53,12;51,72;50,00;45,28;48,15;48,00;42,22;46,00;40,82;39,22;38,00
48090;Balmaseda;74,95;76,99;76,83;76,32;77,35;76,72;77,25;77,40;77,48;77,54;76,88
48013;Barakaldo;79,12;79,35;79,12;79,00;78,97;78,93;78,78;79,13;78,89;78,41;77,52
48014;Barrika;82,83;83,13;83,30;84,06;82,91;83,24;83,11;82,73;82,29;82,40;79,81
01013;Barrundia;65,58;65,17;63,61;62,33;61,46;61,79;61,41;59,73;57,38;55,98;54,83
48015;Basauri;75,84;75,81;75,72;75,27;75,06;74,87;74,85;74,72;74,23;73,33;72,06
01011;Baños de Ebro/Mañueta;29,17;22,03;21,24;20,00;19,64;20,35;21,55;17,59;17,86;17,27;14,55
20019;Beasain;58,42;58,14;57,92;58,15;57,96;58,63;58,54;57,66;57,16;56,15;54,97
48092;Bedia;73,13;72,89;72,81;71,23;73,06;71,33;70,12;73,45;72,08;71,09;70,59
20020;Beizama;60,29;58,82;57,58;62,12;62,30;61,54;56,67;52,73;59,38;59,65;61,54
20021;Belauntza;63,85;64,06;64,17;67,19;64,29;62,70;62,40;58,54;56,20;60,00;56,72
48016;Berango;84,19;84,21;84,07;84,15;83,16;82,91;83,40;82,98;82,94;82,68;81,69
01014;Berantevilla;57,07;53,09;53,29;50,00;51,35;50,33;49,64;46,67;44,60;43,06;42,31
20022;Berastegi;58,20;58,55;57,82;56,73;56,44;54,25;51,85;51,76;52,20;51,21;49,64
20074;Bergara;62,82;62,39;62,34;61,70;60,90;60,78;60,33;60,33;58,37;57,07;55,56
48017;Bermeo;72,87;72,78;71,28;71,38;71,57;71,15;71,45;71,04;70,83;69,51;68,82
01016;Bernedo;53,07;53,98;51,14;49,42;47,93;48,26;46,78;48,15;42,47;39,69;40,50
48018;Berriatua;56,32;56,97;54,94;54,30;52,66;50,52;49,04;51,06;51,17;50,52;48,64
48019;Berriz;60,77;60,73;60,25;59,30;58,76;58,62;58,37;57,93;57,81;56,92;55,90
20023;Berrobi;58,93;56,69;56,05;56,81;53,91;56,78;57,32;55,17;54,22;51,34;47,93
