Indicadores municipales de sostenibilidad: Mujeres paradas de larga duración registradas en Lanbide (% mujeres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
20016;Aia;1,65;1,86;1,24;2,59;2,01;3,18;2,15;2,01;2,50;2,81;2,31;3,28;2,82;2,89;1,70;1,68;1,53
20003;Aizarnazabal;3,80;5,19;4,76;5,39;4,76;6,58;6,96;6,52;8,55;9,09;7,26;7,95;5,33;4,31;2,60;1,86;0,99
48911;Ajangiz;1,48;1,50;0,75;0,76;0,00;1,39;0,72;0,72;0,00;0,76;0,76;2,27;1,47;0,73;2,84;1,32;0,69
20004;Albiztur;1,02;0,00;0,00;1,12;0,00;0,00;0,00;1,15;0,00;1,14;2,13;0,00;2,15;1,03;1,05;0,00;0,00
20005;Alegia;4,14;4,00;3,81;6,93;6,12;7,40;6,19;7,01;9,25;7,03;7,24;6,12;5,99;5,32;4,50;4,43;3,59
01001;Alegría-Dulantzi;5,29;4,93;4,46;5,01;3,53;4,91;5,16;5,68;5,41;5,30;5,05;4,32;3,67;3,38;1,83;1,65;0,80
20006;Alkiza;1,89;0,98;2,94;1,92;0,00;2,97;3,12;4,12;5,10;5,26;6,60;4,90;4,76;2,06;2,06;1,96;2,13
48912;Alonsotegi;6,21;7,21;6,89;7,23;6,56;8,21;8,16;9,77;9,41;9,11;8,62;7,21;6,93;4,62;3,96;2,60;3,30
20906;Altzaga;0,00;0,00;0,00;1,82;0,00;0,00;1,85;3,85;1,92;3,92;6,25;4,35;2,22;2,08;2,17;2,04;0,00
20007;Altzo;0,82;0,85;1,71;0,83;1,61;0,81;3,28;3,33;5,36;7,55;7,55;7,21;4,55;2,86;0,92;1,71;0,00
20008;Amezketa;3,16;2,13;2,13;3,97;4,06;5,73;6,08;6,15;4,98;4,94;5,43;4,63;2,55;1,50;2,60;1,88;1,09
48003;Amorebieta-Etxano;3,23;3,09;3,46;4,17;3,39;3,73;3,83;4,42;4,79;5,51;4,92;4,41;2,93;2,27;1,89;0,96;0,99
48004;Amoroto;0,85;2,46;0,00;1,60;0,00;2,33;2,29;1,57;1,67;2,59;2,65;2,70;1,82;1,79;0,87;2,52;0,85
01002;Amurrio;7,42;6,45;6,76;8,01;6,45;6,15;6,97;7,90;7,85;7,80;7,18;6,27;4,81;3,82;2,72;1,86;2,60
20009;Andoain;3,77;4,08;4,61;5,36;4,00;5,12;5,54;5,94;6,77;6,98;6,42;6,02;5,48;4,99;3,67;3,47;3,49
20010;Anoeta;4,29;3,96;4,73;6,37;5,50;7,44;6,34;7,61;7,79;8,60;7,72;7,64;7,75;5,93;5,26;5,04;3,67
20011;Antzuola;2,11;2,35;2,98;2,54;2,99;2,92;3,47;3,66;3,65;3,59;3,43;4,15;3,50;3,61;3,17;2,13;2,13
48005;Arakaldo;3,12;3,57;1,79;3,77;2,00;4,17;3,77;1,96;2,08;4,44;2,78;3,23;0,00;0,00;0,00;4,76;0,00
20012;Arama;0,00;0,00;0,00;0,00;4,29;5,97;4,35;3,17;4,69;1,59;1,54;3,03;3,33;3,33;3,23;1,85;1,85
01003;Aramaio;0,00;0,46;0,69;0,67;0,45;1,34;0,90;0,45;1,13;1,32;1,10;0,66;0,86;1,30;1,07;0,43;0,64
48006;Arantzazu;4,07;3,12;3,12;4,69;3,45;2,61;6,25;2,65;4,27;3,36;3,31;4,27;1,74;0,85;0,93;0,99;0,00
48093;Areatza;3,51;3,33;3,57;2,86;4,00;5,75;3,85;3,95;4,94;4,80;4,08;5,50;3,29;1,33;0,55;0,84;1,15
20013;Aretxabaleta;2,31;2,26;2,49;3,33;3,03;4,35;4,08;4,16;3,97;4,03;3,79;3,64;2,67;3,47;2,99;1,65;1,19
01006;Armiñón;3,85;3,85;2,56;2,82;2,56;2,63;1,45;3,95;4,23;4,05;4,29;1,43;2,99;6,45;1,59;6,82;5,41
01037;Arraia-Maeztu;2,06;0,90;1,80;1,90;2,17;2,59;3,35;5,88;2,13;3,23;4,64;4,98;5,34;1,46;1,50;0,50;0,92
48009;Arrankudiaga;2,37;2,46;2,77;3,76;1,26;2,82;4,01;2,43;3,36;5,03;7,01;6,31;3,41;4,14;3,91;3,02;2,79
20055;Arrasate/Mondragón;4,85;4,98;4,76;5,73;4,90;5,07;5,46;6,08;6,88;6,52;5,15;5,07;3,90;3,95;3,68;2,02;1,91
48914;Arratzu;1,57;2,24;2,24;1,61;0,81;0,83;1,60;2,40;2,40;3,20;1,71;0,00;0,00;0,00;1,90;0,00;0,00
01008;Arratzua-Ubarrundia;2,80;1,79;2,98;2,82;2,93;2,53;2,25;2,27;1,26;2,88;3,98;2,74;4,23;2,88;1,69;2,67;1,74
48010;Arrieta;2,23;2,26;3,95;2,81;3,21;3,98;3,39;4,68;4,62;4,07;4,00;3,66;3,11;5,62;4,91;2,52;1,97
48011;Arrigorriaga;4,93;4,73;5,43;6,58;5,43;5,42;6,23;6,50;7,44;7,36;6,62;6,66;5,42;4,65;4,53;3,25;3,26
