Indicadores municipales de sostenibilidad: Hombres ocupados en el sector servicios (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;41,76;40,87;40,69;40,27
48032;Elorrio;46,32;46,27;45,57;45,09
01023;Elvillar/Bilar;20,00;17,65;17,44;17,24
48902;Erandio;65,85;66,11;65,96;66,28
48033;Ereño;52,70;48,72;42,25;47,76
48034;Ermua;38,35;38,18;37,23;37,42
20067;Errenteria;62,92;62,52;61,38;60,98
20066;Errezil;35,00;33,99;33,33;30,63
01046;Erriberagoitia/Ribera Alta;55,20;54,92;52,17;50,61
48079;Errigoiti;58,40;56,82;55,04;54,17
20034;Eskoriatza;36,84;36,85;35,01;35,11
48029;Etxebarri;63,79;64,80;63,07;63,38
48030;Etxebarria;40,83;44,31;41,89;40,72
20035;Ezkio-Itsaso;34,84;35,15;34,81;33,53
48906;Forua;61,46;62,76;62,87;59,31
48035;Fruiz;68,99;67,20;70,97;66,10
20038;Gabiria;32,89;34,44;30,50;35,42
20037;Gaintza;50,00;46,15;44,44;40,62
48036;Galdakao;61,78;61,62;60,57;60,35
48037;Galdames;55,30;56,88;59,33;57,14
48038;Gamiz-Fika;58,66;60,98;58,66;59,57
48039;Garai;51,09;50,55;47,92;50,53
48040;Gatika;63,73;61,14;59,68;59,74
48041;Gautegiz Arteaga;68,51;70,98;68,63;62,94
20907;Gaztelu;51,16;54,17;55,32;51,16
48046;Gernika-Lumo;57,44;57,23;54,57;55,11
20039;Getaria;45,69;45,08;48,09;48,17
48044;Getxo;78,38;78,43;77,67;78,29
48047;Gizaburuaga;43,86;47,06;36,84;34,55
48042;Gordexola;66,51;67,14;66,90;62,09
48043;Gorliz;75,46;75,75;74,46;74,08
48045;Güeñes;61,20;61,39;61,26;61,00
01056;Harana/Valle de Arana;50,00;53,45;45,61;42,11
20040;Hernani;59,39;59,23;57,90;58,03
20041;Hernialde;50,68;55,07;52,17;44,12
20036;Hondarribia;67,16;67,95;68,07;68,46
20042;Ibarra;45,25;44,54;43,69;43,65
48048;Ibarrangelu;70,56;74,57;71,10;68,67
20043;Idiazabal;31,73;34,45;30,78;33,98
48094;Igorre;46,41;45,71;44,59;45,20
20044;Ikaztegieta;36,89;43,40;39,42;46,61
20045;Irun;66,31;66,50;65,90;67,65
20046;Irura;45,05;43,89;44,01;47,08
01027;Iruraiz-Gauna;53,22;54,59;48,55;50,61
01901;Iruña Oka/Iruña de Oca;54,25;53,91;51,11;51,60
48049;Ispaster;50,00;48,39;49,68;47,17
20047;Itsasondo;40,12;41,51;34,84;35,67
48910;Iurreta;46,31;44,80;42,30;40,69
48050;Izurtza;48,44;55,00;48,48;43,66
48022;Karrantza Harana/Valle de Carranza;44,74;44,98;46,40;46,18
48907;Kortezubi;58,72;59,09;56,36;53,70
01019;Kripan;27,08;25,53;17,95;31,82
01020;Kuartango;44,55;44,55;41,44;36,63
01028;Labastida/Bastida;41,60;43,38;40,06;41,80
01030;Lagrán;60,47;60,47;54,76;40,54
01031;Laguardia;43,73;41,87;41,92;43,49
01032;Lanciego/Lantziego;30,06;25,41;24,86;28,33
48051;Lanestosa;52,94;55,17;43,55;56,67
01902;Lantarón;39,45;42,34;41,94;42,08
01033;Lapuebla de Labarca;31,16;28,16;28,64;29,15
48052;Larrabetzu;68,75;67,34;66,74;66,53
20048;Larraul;56,58;54,79;54,67;55,13
20902;Lasarte-Oria;61,13;60,36;59,31;59,53
01036;Laudio/Llodio;48,45;48,51;46,39;47,70
48053;Laukiz;67,82;69,20;65,80;66,39
20049;Lazkao;32,94;31,93;32,20;30,97
20050;Leaburu;36,73;41,38;36,56;38,54
20051;Legazpi;37,75;36,46;35,91;35,29
20052;Legorreta;44,62;42,12;38,78;41,62
01058;Legutio;50,90;51,82;49,52;51,09
20068;Leintz-Gatzaga;40,00;39,71;40,91;50,68
48054;Leioa;72,60;72,45;72,57;72,77
48057;Lekeitio;57,83;57,66;57,37;56,98
