Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector industria (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;16,96;17,74;17,38;18,35
48032;Elorrio;15,61;15,74;15,58;15,91
01023;Elvillar/Bilar;15,38;12,99;8,82;10,00
48902;Erandio;4,59;4,53;4,80;4,76
48033;Ereño;1,82;1,92;3,92;2,04
48034;Ermua;21,44;21,35;21,37;21,07
20067;Errenteria;7,00;6,79;6,80;6,54
20066;Errezil;22,14;15,62;17,97;15,60
01046;Erriberagoitia/Ribera Alta;9,45;8,04;8,16;10,06
48079;Errigoiti;6,32;5,32;6,38;9,47
20034;Eskoriatza;24,35;25,66;26,28;26,85
48029;Etxebarri;6,32;6,18;6,26;6,41
48030;Etxebarria;27,81;29,45;29,61;27,44
20035;Ezkio-Itsaso;13,42;13,57;14,07;14,69
48906;Forua;6,80;7,49;8,70;7,22
48035;Fruiz;6,82;5,34;6,02;8,53
20038;Gabiria;14,05;17,80;18,10;16,00
20037;Gaintza;14,29;14,29;14,81;10,00
48036;Galdakao;7,02;7,41;7,42;7,64
48037;Galdames;6,54;6,71;6,76;5,44
48038;Gamiz-Fika;8,90;8,23;7,97;6,91
48039;Garai;12,00;12,00;11,94;12,16
48040;Gatika;7,78;7,93;7,50;7,26
48041;Gautegiz Arteaga;7,18;6,93;9,42;9,78
20907;Gaztelu;18,42;14,71;16,13;13,33
48046;Gernika-Lumo;9,17;9,03;9,55;9,86
20039;Getaria;13,58;14,88;16,19;15,29
48044;Getxo;5,59;5,71;5,57;5,25
48047;Gizaburuaga;19,57;15,56;16,67;15,79
48042;Gordexola;8,64;10,18;9,97;9,07
48043;Gorliz;4,04;4,22;4,30;3,64
48045;Güeñes;5,50;5,69;5,42;5,48
01056;Harana/Valle de Arana;13,89;11,11;10,81;6,06
20040;Hernani;6,82;6,49;6,65;6,50
20041;Hernialde;15,28;19,12;20,31;15,38
20036;Hondarribia;5,65;5,68;6,31;5,74
20042;Ibarra;9,48;9,22;10,19;10,81
48048;Ibarrangelu;10,07;9,21;10,45;12,20
20043;Idiazabal;20,35;19,82;19,07;18,10
48094;Igorre;10,34;10,75;9,96;10,89
20044;Ikaztegieta;13,48;13,64;13,58;15,56
20045;Irun;7,02;7,20;7,30;6,56
20046;Irura;9,61;10,39;11,06;12,59
01027;Iruraiz-Gauna;9,42;6,29;9,09;8,96
01901;Iruña Oka/Iruña de Oca;14,98;14,00;14,74;16,28
48049;Ispaster;11,84;12,59;11,89;12,50
20047;Itsasondo;15,28;19,15;16,42;14,19
48910;Iurreta;14,00;13,28;14,47;13,91
48050;Izurtza;0,00;2,38;4,35;6,98
48022;Karrantza Harana/Valle de Carranza;11,33;10,92;10,80;8,04
48907;Kortezubi;8,57;10,58;11,54;13,27
01019;Kripan;21,05;22,50;18,18;27,27
01020;Kuartango;15,07;15,00;16,92;12,86
01028;Labastida/Bastida;9,06;9,48;11,47;10,55
01030;Lagrán;6,90;10,00;7,41;16,67
01031;Laguardia;16,56;16,82;15,56;13,97
01032;Lanciego/Lantziego;10,26;10,81;13,21;17,17
48051;Lanestosa;2,17;0,00;0,00;0,00
01902;Lantarón;11,33;12,67;10,14;14,38
01033;Lapuebla de Labarca;19,88;16,15;16,22;12,90
48052;Larrabetzu;9,80;9,76;9,13;9,90
20048;Larraul;5,56;8,93;9,62;5,88
20902;Lasarte-Oria;7,15;6,68;6,87;6,40
01036;Laudio/Llodio;10,46;10,25;10,59;11,15
48053;Laukiz;3,10;4,83;4,56;4,62
20049;Lazkao;16,51;17,38;18,31;16,91
20050;Leaburu;14,10;10,67;6,06;8,57
20051;Legazpi;14,46;13,94;14,19;13,98
20052;Legorreta;12,94;12,62;12,79;13,36
01058;Legutio;11,37;12,64;13,42;13,87
20068;Leintz-Gatzaga;22,22;22,86;21,62;22,73
48054;Leioa;5,38;5,31;5,26;5,08
48057;Lekeitio;12,71;13,03;14,18;14,15
48055;Lemoa;10,22;10,63;11,01;11,01
48056;Lemoiz;6,69;6,84;6,08;5,02
01034;Leza;6,25;5,71;7,89;2,56
48081;Lezama;8,95;9,89;10,07;9,65
20053;Lezo;8,02;7,84;7,38;6,24
20054;Lizartza;10,32;10,48;10,71;12,17
48903;Loiu;4,97;6,00;6,34;4,47
48058;Mallabia;22,96;21,54;23,01;21,54
48060;Markina-Xemein;21,97;21,80;23,15;24,57
48061;Maruri-Jatabe;6,69;6,93;7,11;7,73
48059;Mañaria;16,67;15,52;18,75;13,82
20901;Mendaro;15,60;16,75;16,20;17,76
48062;Mendata;5,62;8,16;10,00;7,41
48063;Mendexa;14,29;11,70;12,77;16,35
48064;Meñaka;5,39;5,62;7,93;5,92
01039;Moreda de Álava / Moreda Araba;1,89;5,36;5,56;4,08
48066;Morga;4,49;4,08;4,60;6,10
48068;Mundaka;6,72;6,77;5,85;6,84
48069;Mungia;8,25;8,20;8,15;8,18
48007;Munitibar-Arbatzegi Gerrikaitz-;10,23;12,50;14,46;20,51
48908;Murueta;8,43;6,58;8,33;9,09
48071;Muskiz;6,20;5,63;6,33;4,97
20057;Mutiloa;10,91;10,64;16,67;14,29
20056;Mutriku;22,11;24,26;23,13;21,94
48067;Muxika;10,45;12,04;11,46;11,71
48909;Nabarniz;4,92;4,69;6,35;3,39
01041;Navaridas;21,43;16,28;15,38;20,00
20063;Oiartzun;6,84;7,24;7,32;7,05
01042;Okondo;7,12;8,17;9,06;7,88
20058;Olaberria;11,36;10,61;13,33;12,35
48073;Ondarroa;24,68;26,49;23,67;25,36
20076;Ordizia;12,31;14,23;13,90;12,85
20905;Orendain;8,33;6,90;3,85;6,00
20060;Orexa;9,52;10,00;20,00;13,64
20061;Orio;9,77;10,26;10,57;11,08
20062;Ormaiztegi;19,17;14,92;16,19;17,24
48075;Orozko;11,11;13,14;12,85;12,96
48083;Ortuella;4,55;5,01;5,05;4,65
48072;Otxandio;13,16;13,57;14,01;13,13
01043;Oyón-Oion;14,24;14,69;15,68;14,02
20059;Oñati;26,25;26,63;27,03;28,54
20064;Pasaia;5,29;5,44;5,57;5,03
01044;Peñacerrada-Urizaharra;9,52;8,57;10,14;13,11
48077;Plentzia;5,61;5,73;5,23;4,98
48078;Portugalete;3,47;3,35;3,54;3,63
01047;Ribera Baja/Erribera Beitia;12,73;10,37;13,10;12,97
01051;Salvatierra/Agurain;20,04;18,56;18,21;17,26
01052;Samaniego;20,37;20,00;15,38;17,07
01053;San Millán/Donemiliaga;13,84;11,92;13,07;9,86
48082;Santurtzi;4,18;4,10;4,21;4,28
20070;Segura;19,65;20,30;19,33;18,21
48084;Sestao;3,51;3,55;3,66;3,97
48904;Sondika;7,32;7,58;8,92;8,36
48085;Sopela;5,61;5,66;5,17;5,35
48086;Sopuerta;5,57;5,50;5,81;5,47
20065;Soraluze-Placencia de las Armas;15,01;17,29;16,72;17,81
48076;Sukarrieta;8,11;6,25;8,20;8,33
20071;Tolosa;10,09;9,60;9,45;10,06
48087;Trucios-Turtzioz;9,57;8,42;8,54;7,23
48088;Ubide;9,30;10,81;12,50;12,12
48065;Ugao-Miraballes;7,28;6,92;6,68;7,41
48089;Urduliz;4,79;4,44;4,72;4,10
48074;Urduña/Orduña;10,34;9,92;9,31;8,90
01054;Urkabustaiz;8,16;9,28;8,23;8,41
20072;Urnieta;9,77;8,83;9,38;9,09
20077;Urretxu;11,23;11,48;11,83;11,97
20073;Usurbil;8,22;8,41;8,55;8,92
01055;Valdegovía/Gaubea;8,96;9,30;8,51;9,68
48080;Valle de Trápaga-Trapagaran;4,76;4,33;4,25;4,63
20075;Villabona;11,33;11,53;11,68;12,05
01057;Villabuena de Álava/Eskuernaga;16,95;13,79;15,09;14,29
01059;Vitoria-Gasteiz;9,05;8,89;9,32;9,12
01060;Yécora/Iekora;12,50;12,90;11,11;20,00
48095;Zaldibar;20,35;20,06;20,34;20,40
20078;Zaldibia;13,27;13,92;12,46;12,31
01061;Zalduondo;17,19;14,55;17,65;20,00
48096;Zalla;5,46;5,13;6,05;6,02
01062;Zambrana;19,12;12,66;12,00;7,50
48905;Zamudio;8,85;9,71;9,69;10,62
48097;Zaratamo;7,41;7,63;8,22;8,14
20079;Zarautz;9,73;9,97;9,76;9,96
48024;Zeanuri;5,88;5,86;4,41;6,07
48025;Zeberio;7,39;7,29;10,13;8,33
20025;Zegama;11,43;13,42;12,34;11,15
20026;Zerain;20,31;20,00;24,56;27,78
20027;Zestoa;12,79;12,09;11,78;11,85
48913;Zierbena;6,00;6,01;5,48;6,29
01018;Zigoitia;10,97;8,82;9,46;10,80
48915;Ziortza-Bolibar;19,10;19,77;20,69;22,22
20028;Zizurkil;10,75;10,10;9,63;9,20
01063;Zuia;7,96;8,26;8,71;9,91
20081;Zumaia;11,99;11,75;12,02;11,61
20080;Zumarraga;10,50;10,77;11,82;11,68
