Indicadores municipales de sostenibilidad: Hombres ocupados en el sector industria (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;50,48;51,33;51,52;51,93
48032;Elorrio;46,55;46,15;46,45;47,61
01023;Elvillar/Bilar;28,75;18,82;17,44;18,39
48902;Erandio;19,49;18,89;18,96;19,46
48033;Ereño;39,19;38,46;47,89;37,31
48034;Ermua;51,63;52,05;53,20;53,86
20067;Errenteria;24,42;24,67;25,28;25,67
20066;Errezil;45,62;43,79;43,14;43,12
01046;Erriberagoitia/Ribera Alta;26,52;25,76;27,27;28,16
48079;Errigoiti;32,00;31,82;31,78;34,17
20034;Eskoriatza;53,95;54,55;55,67;56,61
48029;Etxebarri;22,36;21,64;23,21;22,64
48030;Etxebarria;47,93;47,31;47,97;49,10
20035;Ezkio-Itsaso;53,55;50,91;51,90;52,69
48906;Forua;27,32;27,55;25,25;27,45
48035;Fruiz;21,71;19,20;16,13;20,34
20038;Gabiria;48,99;49,01;51,06;50,00
20037;Gaintza;44,12;43,59;44,44;40,62
48036;Galdakao;29,33;29,31;29,91;30,57
48037;Galdames;28,57;27,52;25,36;27,14
48038;Gamiz-Fika;28,57;26,52;27,66;27,16
48039;Garai;42,39;42,86;42,71;40,00
48040;Gatika;25,44;25,91;29,18;30,13
48041;Gautegiz Arteaga;22,98;20,98;24,51;30,96
20907;Gaztelu;30,23;22,92;19,15;16,28
48046;Gernika-Lumo;30,40;31,11;33,15;33,18
20039;Getaria;38,58;37,18;39,60;37,61
48044;Getxo;14,25;14,27;14,67;14,16
48047;Gizaburuaga;49,12;45,10;52,63;54,55
48042;Gordexola;24,23;23,24;21,28;25,83
48043;Gorliz;15,18;15,19;15,76;15,62
48045;Güeñes;24,44;24,35;24,31;24,52
01056;Harana/Valle de Arana;14,29;13,79;19,30;14,04
20040;Hernani;27,78;27,62;28,79;28,96
20041;Hernialde;34,25;28,99;33,33;38,24
20036;Hondarribia;19,29;18,86;20,11;19,24
20042;Ibarra;45,03;44,32;45,03;44,69
48048;Ibarrangelu;20,56;18,50;20,23;21,33
20043;Idiazabal;59,71;57,07;60,07;56,81
48094;Igorre;41,88;40,59;41,14;42,77
20044;Ikaztegieta;51,46;45,28;50,00;44,07
20045;Irun;21,57;21,58;22,04;20,69
20046;Irura;47,99;47,96;47,74;45,76
01027;Iruraiz-Gauna;29,24;25,95;27,17;23,78
01901;Iruña Oka/Iruña de Oca;34,27;34,77;36,69;36,02
48049;Ispaster;38,67;38,06;36,13;34,59
20047;Itsasondo;49,10;45,28;53,55;49,12
48910;Iurreta;44,47;44,80;46,43;48,14
48050;Izurtza;39,06;31,67;37,88;39,44
48022;Karrantza Harana/Valle de Carranza;21,05;19,90;18,59;16,64
48907;Kortezubi;26,61;26,36;27,27;30,56
01019;Kripan;33,33;29,79;33,33;15,91
01020;Kuartango;32,73;31,82;36,94;42,57
01028;Labastida/Bastida;32,08;30,65;32,46;26,93
01030;Lagrán;11,63;16,28;21,43;27,03
01031;Laguardia;32,92;32,51;34,60;28,01
01032;Lanciego/Lantziego;21,97;24,86;23,70;19,44
48051;Lanestosa;19,61;10,34;17,74;8,33
01902;Lantarón;40,62;37,90;38,71;38,33
01033;Lapuebla de Labarca;27,91;27,18;25,35;24,12
48052;Larrabetzu;21,68;22,38;23,61;23,97
20048;Larraul;28,95;30,14;28,00;25,64
20902;Lasarte-Oria;27,21;27,43;28,11;27,70
01036;Laudio/Llodio;43,31;42,79;44,13;43,92
48053;Laukiz;19,72;19,72;21,56;20,90
20049;Lazkao;56,87;58,07;58,36;59,36
20050;Leaburu;41,84;37,93;39,78;38,54
20051;Legazpi;52,51;54,06;54,66;55,50
20052;Legorreta;44,09;47,28;49,27;48,32
01058;Legutio;38,53;37,09;39,77;39,17
20068;Leintz-Gatzaga;52,31;54,41;54,55;43,84
48054;Leioa;17,93;17,94;18,01;17,83
48057;Lekeitio;30,53;30,66;31,14;31,65
48055;Lemoa;36,55;37,62;38,89;39,32
48056;Lemoiz;13,28;15,25;15,27;15,13
01034;Leza;17,74;15,79;21,57;9,80
48081;Lezama;21,77;20,45;23,09;23,24
20053;Lezo;25,05;25,20;26,11;26,13
20054;Lizartza;50,00;50,63;50,31;53,99
48903;Loiu;18,65;18,25;20,45;20,34
48058;Mallabia;50,34;51,57;50,89;50,00
48060;Markina-Xemein;47,79;47,03;48,92;50,18
48061;Maruri-Jatabe;21,67;22,86;21,88;25,56
48059;Mañaria;46,15;45,65;47,69;41,91
20901;Mendaro;53,54;53,78;52,37;55,16
48062;Mendata;29,41;26,00;28,28;28,18
48063;Mendexa;25,44;26,45;26,36;25,69
48064;Meñaka;25,82;23,70;22,73;25,58
01039;Moreda de Álava / Moreda Araba;33,33;32,50;28,57;15,58
48066;Morga;20,91;23,85;31,00;29,59
48068;Mundaka;23,80;26,15;26,08;24,61
48069;Mungia;28,41;27,04;28,47;28,62
48007;Munitibar-Arbatzegi Gerrikaitz-;39,45;44,44;40,37;42,48
48908;Murueta;34,52;35,06;35,53;35,14
48071;Muskiz;30,98;29,69;31,03;30,26
20057;Mutiloa;50,00;48,61;50,00;50,72
20056;Mutriku;44,66;43,37;43,81;43,86
48067;Muxika;34,48;33,24;36,69;35,38
48909;Nabarniz;30,30;32,26;32,76;32,76
01041;Navaridas;28,36;21,92;18,03;9,52
20063;Oiartzun;25,31;25,13;25,41;25,13
01042;Okondo;34,80;37,34;38,80;36,53
20058;Olaberria;55,14;57,14;59,83;57,92
48073;Ondarroa;38,60;38,52;40,25;39,55
20076;Ordizia;45,40;46,82;46,25;46,08
20905;Orendain;27,27;26,87;29,69;27,78
20060;Orexa;34,48;35,71;46,67;41,38
20061;Orio;33,10;33,33;32,73;34,25
20062;Ormaiztegi;64,66;59,57;60,71;59,86
48075;Orozko;37,11;37,63;38,46;39,64
48083;Ortuella;25,92;25,91;25,08;26,11
48072;Otxandio;48,59;47,08;47,47;48,12
01043;Oyón-Oion;40,17;39,73;40,15;34,00
20059;Oñati;62,79;62,60;62,65;64,36
20064;Pasaia;19,51;18,79;19,34;18,92
01044;Peñacerrada-Urizaharra;32,41;33,98;40,00;36,84
48077;Plentzia;15,42;14,30;15,32;15,13
48078;Portugalete;21,86;21,89;22,60;23,09
01047;Ribera Baja/Erribera Beitia;37,35;37,59;38,62;33,94
01051;Salvatierra/Agurain;42,25;42,93;44,37;45,84
01052;Samaniego;38,27;36,00;39,13;27,59
01053;San Millán/Donemiliaga;30,81;30,77;35,24;31,73
48082;Santurtzi;21,88;21,40;21,88;22,42
20070;Segura;57,56;56,73;58,02;56,27
48084;Sestao;21,65;21,23;22,18;22,66
48904;Sondika;24,98;24,29;24,78;26,76
48085;Sopela;17,23;17,24;17,24;18,09
48086;Sopuerta;25,41;26,08;26,25;26,92
20065;Soraluze-Placencia de las Armas;54,41;54,27;54,34;53,58
48076;Sukarrieta;22,22;20,99;28,77;26,87
20071;Tolosa;40,20;40,68;41,02;40,96
48087;Trucios-Turtzioz;26,36;28,12;25,62;19,51
48088;Ubide;35,85;35,85;38,30;41,38
48065;Ugao-Miraballes;31,98;31,64;33,47;34,85
48089;Urduliz;21,18;21,30;21,33;21,27
48074;Urduña/Orduña;44,28;45,67;44,74;45,05
01054;Urkabustaiz;30,99;30,95;29,74;29,21
20072;Urnieta;29,23;28,81;30,55;29,95
20077;Urretxu;50,12;50,62;50,64;50,67
20073;Usurbil;29,51;29,74;29,84;29,52
01055;Valdegovía/Gaubea;30,17;29,68;31,79;29,76
48080;Valle de Trápaga-Trapagaran;21,41;20,91;21,33;21,75
20075;Villabona;45,24;45,70;46,27;44,54
01057;Villabuena de Álava/Eskuernaga;26,58;26,19;25,97;21,79
01059;Vitoria-Gasteiz;31,68;31,36;32,54;32,40
01060;Yécora/Iekora;16,67;12,90;17,86;12,28
48095;Zaldibar;51,72;52,50;53,30;54,35
20078;Zaldibia;45,50;48,84;51,72;49,00
01061;Zalduondo;21,67;25,86;28,33;31,03
48096;Zalla;25,92;25,21;24,53;24,88
01062;Zambrana;35,71;37,72;38,24;35,96
48905;Zamudio;26,34;26,09;29,71;29,53
48097;Zaratamo;21,68;21,01;21,67;23,58
20079;Zarautz;32,96;32,76;33,06;33,59
48024;Zeanuri;33,11;31,92;33,56;31,55
48025;Zeberio;31,62;30,57;28,20;29,07
20025;Zegama;59,64;60,46;58,16;58,78
20026;Zerain;56,67;50,00;54,10;55,17
20027;Zestoa;41,71;41,56;42,02;42,61
48913;Zierbena;26,86;28,28;27,36;28,40
01018;Zigoitia;26,16;25,14;25,85;24,84
48915;Ziortza-Bolibar;47,31;49,52;50,47;49,12
20028;Zizurkil;42,03;40,53;42,92;42,31
01063;Zuia;22,58;23,00;23,44;21,97
20081;Zumaia;46,80;46,46;47,54;48,68
20080;Zumarraga;50,53;51,41;51,23;51,39
