Indicadores municipales de sostenibilidad: Hombres ocupados en el sector agropesquero (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;1,80;1,72;1,71;2,08
48032;Elorrio;2,84;3,15;2,96;2,92
01023;Elvillar/Bilar;47,50;60,00;61,63;59,77
48902;Erandio;0,75;0,83;0,84;0,92
48033;Ereño;1,35;3,85;1,41;2,99
48034;Ermua;0,66;0,56;0,43;0,34
20067;Errenteria;0,51;0,45;0,41;0,51
20066;Errezil;8,12;8,50;9,15;10,00
01046;Erriberagoitia/Ribera Alta;8,24;9,47;10,28;11,02
48079;Errigoiti;1,60;4,55;6,20;3,33
20034;Eskoriatza;1,22;1,35;1,40;1,28
48029;Etxebarri;0,42;0,23;0,21;0,34
48030;Etxebarria;6,51;6,59;4,05;4,79
20035;Ezkio-Itsaso;3,87;3,64;4,43;3,59
48906;Forua;1,95;1,53;1,49;2,45
48035;Fruiz;1,55;1,60;1,61;0,85
20038;Gabiria;1,34;1,32;2,13;1,39
20037;Gaintza;2,94;5,13;2,78;3,12
48036;Galdakao;0,35;0,48;0,46;0,44
48037;Galdames;4,15;5,05;5,74;6,19
48038;Gamiz-Fika;7,29;7,01;7,60;6,17
48039;Garai;1,09;1,10;4,17;4,21
48040;Gatika;3,53;4,15;2,92;3,90
48041;Gautegiz Arteaga;1,28;1,34;0,98;1,02
20907;Gaztelu;4,65;6,25;8,51;13,95
48046;Gernika-Lumo;1,87;1,59;1,56;1,97
20039;Getaria;10,66;12,18;7,21;9,15
48044;Getxo;0,58;0,57;0,53;0,49
48047;Gizaburuaga;1,75;1,96;3,51;5,45
48042;Gordexola;2,38;3,05;3,55;4,74
48043;Gorliz;0,85;1,00;1,29;1,15
48045;Güeñes;2,04;1,89;2,11;2,13
01056;Harana/Valle de Arana;16,07;15,52;17,54;22,81
20040;Hernani;0,73;1,02;0,86;0,90
20041;Hernialde;1,37;1,45;1,45;1,47
20036;Hondarribia;5,49;5,27;3,11;3,43
20042;Ibarra;0,86;0,98;1,45;1,77
48048;Ibarrangelu;1,67;1,16;1,73;0,67
20043;Idiazabal;1,25;1,24;2,05;2,83
48094;Igorre;2,95;3,87;4,24;3,59
20044;Ikaztegieta;0,00;1,89;2,88;3,39
20045;Irun;0,80;0,93;0,52;0,50
20046;Irura;0,18;0,37;0,20;0,00
01027;Iruraiz-Gauna;11,11;13,51;15,03;18,29
01901;Iruña Oka/Iruña de Oca;1,80;1,23;1,48;1,24
48049;Ispaster;6,00;8,39;8,39;9,43
20047;Itsasondo;2,99;1,26;1,29;2,92
48910;Iurreta;1,84;2,22;2,38;2,11
48050;Izurtza;7,81;8,33;6,06;9,86
48022;Karrantza Harana/Valle de Carranza;22,37;24,41;24,79;26,83
48907;Kortezubi;8,26;6,36;7,27;7,41
01019;Kripan;37,50;42,55;46,15;52,27
01020;Kuartango;11,82;15,45;14,41;11,88
01028;Labastida/Bastida;17,04;18,44;18,13;21,67
01030;Lagrán;16,28;18,60;16,67;21,62
01031;Laguardia;14,99;16,26;14,65;20,39
01032;Lanciego/Lantziego;39,88;40,54;43,35;45,56
48051;Lanestosa;1,96;5,17;12,90;13,33
01902;Lantarón;11,72;12,50;12,50;12,50
01033;Lapuebla de Labarca;33,49;39,32;39,44;41,21
48052;Larrabetzu;2,73;3,63;3,08;2,89
20048;Larraul;5,26;4,11;5,33;7,69
20902;Lasarte-Oria;0,43;0,52;0,66;0,80
01036;Laudio/Llodio;1,12;1,29;1,39;1,12
48053;Laukiz;2,08;2,77;2,60;1,64
20049;Lazkao;0,85;1,13;0,90;1,25
20050;Leaburu;2,04;2,30;1,08;4,17
20051;Legazpi;0,80;0,71;1,08;0,94
20052;Legorreta;0,00;1,90;0,00;0,28
01058;Legutio;4,30;4,73;4,59;3,98
20068;Leintz-Gatzaga;1,54;1,47;0,00;0,00
48054;Leioa;0,35;0,34;0,22;0,32
48057;Lekeitio;4,72;4,91;4,36;4,63
48055;Lemoa;0,64;0,78;0,68;0,99
48056;Lemoiz;3,67;3,95;3,59;3,64
01034;Leza;45,16;49,12;45,10;58,82
48081;Lezama;2,21;2,60;2,23;2,29
20053;Lezo;0,33;0,26;0,27;0,33
20054;Lizartza;0,61;1,27;1,86;2,45
48903;Loiu;0,55;0,93;1,14;0,95
48058;Mallabia;2,05;3,14;2,85;2,65
48060;Markina-Xemein;8,05;8,41;7,12;7,09
48061;Maruri-Jatabe;2,28;1,63;2,23;2,24
48059;Mañaria;2,10;1,45;0,77;0,74
20901;Mendaro;1,57;1,39;1,44;0,99
48062;Mendata;2,94;2,00;4,04;5,45
48063;Mendexa;5,26;5,79;7,27;8,26
48064;Meñaka;4,95;5,20;5,68;5,23
01039;Moreda de Álava / Moreda Araba;33,33;30,00;32,47;38,96
48066;Morga;7,27;4,59;3,00;6,12
48068;Mundaka;3,54;3,85;3,54;4,66
48069;Mungia;2,37;2,55;2,58;2,70
48007;Munitibar-Arbatzegi Gerrikaitz-;3,67;3,70;2,75;2,65
48908;Murueta;2,38;2,60;1,32;2,70
48071;Muskiz;0,75;0,83;0,86;0,63
20057;Mutiloa;1,43;1,39;1,47;1,45
20056;Mutriku;6,44;7,06;5,03;5,86
48067;Muxika;2,01;2,04;2,37;2,63
48909;Nabarniz;4,55;6,45;3,45;0,00
01041;Navaridas;55,22;57,53;62,30;66,67
20063;Oiartzun;1,49;1,67;1,45;1,74
01042;Okondo;3,45;3,90;4,01;4,95
20058;Olaberria;2,88;2,10;1,67;2,08
48073;Ondarroa;11,56;12,27;10,29;10,67
20076;Ordizia;0,61;0,72;0,47;0,83
20905;Orendain;10,61;10,45;12,50;14,81
20060;Orexa;17,24;17,86;3,33;3,45
20061;Orio;4,23;4,85;2,09;2,22
20062;Ormaiztegi;0,35;0,35;0,36;0,34
48075;Orozko;4,47;4,92;4,81;5,50
48083;Ortuella;0,51;0,42;0,28;0,38
48072;Otxandio;3,45;4,00;2,85;3,44
01043;Oyón-Oion;10,91;13,28;12,40;14,06
20059;Oñati;0,91;0,80;0,91;0,92
20064;Pasaia;1,11;1,20;1,36;1,50
01044;Peñacerrada-Urizaharra;14,81;16,50;11,43;14,74
48077;Plentzia;1,18;0,97;0,68;1,22
48078;Portugalete;0,36;0,36;0,21;0,22
01047;Ribera Baja/Erribera Beitia;2,17;3,13;2,81;3,37
01051;Salvatierra/Agurain;1,94;1,93;1,78;2,06
01052;Samaniego;39,51;42,67;46,38;48,28
01053;San Millán/Donemiliaga;20,85;25,00;22,38;27,88
48082;Santurtzi;0,70;0,69;0,54;0,44
20070;Segura;2,62;2,29;2,62;2,93
48084;Sestao;0,77;0,85;0,50;0,38
48904;Sondika;0,37;0,38;0,48;0,48
48085;Sopela;0,42;0,42;0,42;0,40
48086;Sopuerta;2,09;2,24;2,51;2,39
20065;Soraluze-Placencia de las Armas;0,71;0,69;0,59;0,33
48076;Sukarrieta;2,47;2,47;2,74;2,99
20071;Tolosa;0,67;0,60;0,70;0,81
48087;Trucios-Turtzioz;5,43;6,25;7,44;5,69
48088;Ubide;7,55;9,43;8,51;8,62
48065;Ugao-Miraballes;0,67;0,78;0,71;0,71
48089;Urduliz;0,63;0,58;0,64;0,87
48074;Urduña/Orduña;2,22;2,78;3,13;3,33
01054;Urkabustaiz;7,02;8,95;10,00;10,89
20072;Urnieta;1,93;1,66;1,48;1,69
20077;Urretxu;0,53;0,71;0,43;0,61
20073;Usurbil;1,54;1,39;1,41;1,78
01055;Valdegovía/Gaubea;11,19;12,72;12,50;13,10
48080;Valle de Trápaga-Trapagaran;0,33;0,34;0,27;0,30
20075;Villabona;1,61;2,17;2,15;2,60
01057;Villabuena de Álava/Eskuernaga;45,57;53,57;58,44;61,54
01059;Vitoria-Gasteiz;0,60;0,67;0,62;0,65
01060;Yécora/Iekora;48,33;53,23;55,36;68,42
48095;Zaldibar;1,52;1,48;1,26;1,22
20078;Zaldibia;3,16;3,08;2,39;2,25
01061;Zalduondo;11,67;10,34;10,00;8,62
48096;Zalla;4,32;4,69;5,24;6,11
01062;Zambrana;8,93;7,02;10,78;11,40
48905;Zamudio;1,59;1,41;1,46;1,14
48097;Zaratamo;1,79;1,77;2,09;1,81
20079;Zarautz;1,14;1,30;0,94;1,38
48024;Zeanuri;5,69;5,54;5,14;5,99
48025;Zeberio;2,57;2,64;4,14;3,88
20025;Zegama;4,17;3,06;2,55;3,31
20026;Zerain;5,00;6,45;8,20;10,34
20027;Zestoa;3,91;4,58;3,91;4,18
48913;Zierbena;2,26;2,07;2,83;2,11
01018;Zigoitia;4,23;4,99;5,41;6,91
48915;Ziortza-Bolibar;7,53;6,67;6,54;7,02
20028;Zizurkil;2,40;2,10;1,75;1,69
01063;Zuia;4,29;4,07;4,10;3,88
20081;Zumaia;0,81;1,13;0,73;0,91
20080;Zumarraga;0,36;0,54;0,42;0,44
