Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector servicios (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;81,36;80,97;80,99;80,17
48032;Elorrio;83,07;82,69;82,98;82,56
01023;Elvillar/Bilar;56,41;53,25;54,41;50,00
48902;Erandio;93,64;93,92;93,66;93,68
48033;Ereño;94,55;94,23;90,20;93,88
48034;Ermua;77,22;77,33;77,35;77,82
20067;Errenteria;91,87;92,15;92,02;92,30
20066;Errezil;69,47;75,00;72,66;75,18
01046;Erriberagoitia/Ribera Alta;83,58;82,91;83,16;79,89
48079;Errigoiti;93,68;93,62;91,49;88,42
20034;Eskoriatza;74,03;72,79;72,33;71,86
48029;Etxebarri;91,87;92,13;91,80;91,67
48030;Etxebarria;67,55;65,64;63,82;64,63
20035;Ezkio-Itsaso;82,55;82,14;82,22;81,82
48906;Forua;87,86;87,17;85,87;87,22
48035;Fruiz;88,64;89,31;87,97;84,50
20038;Gabiria;82,64;77,12;77,14;82,00
20037;Gaintza;82,14;82,14;81,48;80,00
48036;Galdakao;91,28;90,84;90,78;90,54
48037;Galdames;88,89;88,59;89,19;90,48
48038;Gamiz-Fika;86,20;87,97;88,70;87,83
48039;Garai;82,67;84,00;83,58;85,14
48040;Gatika;86,67;86,97;86,94;87,71
48041;Gautegiz Arteaga;90,43;90,59;87,96;86,96
20907;Gaztelu;76,32;79,41;80,65;80,00
48046;Gernika-Lumo;89,33;89,54;88,86;88,85
20039;Getaria;82,51;81,25;79,72;79,41
48044;Getxo;92,50;92,57;92,67;93,05
48047;Gizaburuaga;80,43;84,44;83,33;84,21
48042;Gordexola;89,79;87,99;88,14;87,82
48043;Gorliz;93,76;93,78;93,28;94,16
48045;Güeñes;92,69;92,37;92,61;92,67
01056;Harana/Valle de Arana;66,67;72,22;70,27;75,76
20040;Hernani;91,76;91,95;91,99;91,98
20041;Hernialde;77,78;72,06;71,88;75,38
20036;Hondarribia;92,62;92,41;91,93;92,23
20042;Ibarra;89,62;89,50;88,11;87,21
48048;Ibarrangelu;87,05;89,47;88,06;86,99
20043;Idiazabal;77,24;77,75;78,05;78,45
48094;Igorre;88,95;88,04;88,34;87,57
20044;Ikaztegieta;86,52;86,36;86,42;83,33
20045;Irun;91,67;91,46;91,43;92,16
20046;Irura;88,56;88,16;87,47;85,19
01027;Iruraiz-Gauna;84,78;86,01;82,58;80,60
01901;Iruña Oka/Iruña de Oca;82,88;84,09;82,69;81,79
48049;Ispaster;84,87;83,22;84,62;83,09
20047;Itsasondo;82,64;79,43;82,09;82,58
48910;Iurreta;84,25;84,96;82,98;84,14
48050;Izurtza;93,18;90,48;84,78;79,07
48022;Karrantza Harana/Valle de Carranza;75,15;73,74;73,87;74,13
48907;Kortezubi;84,76;81,73;80,77;78,57
01019;Kripan;55,26;57,50;66,67;66,67
01020;Kuartango;76,71;76,25;76,92;81,43
01028;Labastida/Bastida;83,12;82,35;81,36;80,00
01030;Lagrán;82,76;83,33;85,19;80,00
01031;Laguardia;78,44;79,44;79,14;77,78
01032;Lanciego/Lantziego;74,36;72,97;72,64;62,63
48051;Lanestosa;91,30;92,00;88,10;89,74
01902;Lantarón;78,00;76,00;78,99;75,34
01033;Lapuebla de Labarca;65,66;71,43;70,27;70,32
48052;Larrabetzu;88,04;88,82;89,00;88,25
20048;Larraul;92,59;87,50;86,54;94,12
20902;Lasarte-Oria;91,17;91,60;91,41;91,85
01036;Laudio/Llodio;88,00;88,09;87,69;87,17
48053;Laukiz;92,07;90,33;90,87;91,15
20049;Lazkao;81,97;81,22;79,92;80,59
20050;Leaburu;84,62;88,00;90,91;88,57
20051;Legazpi;83,91;84,30;84,08;84,45
20052;Legorreta;85,44;85,38;85,86;84,93
01058;Legutio;85,85;84,60;83,04;82,67
20068;Leintz-Gatzaga;77,78;77,14;78,38;77,27
48054;Leioa;92,57;92,75;92,59;92,90
48057;Lekeitio;86,41;86,20;84,62;84,76
48055;Lemoa;88,32;88,22;87,40;87,16
48056;Lemoiz;90,76;90,88;92,23;93,91
01034;Leza;78,12;80,00;78,95;82,05
48081;Lezama;88,25;86,22;86,19;85,97
20053;Lezo;90,34;90,33;90,79;92,06
20054;Lizartza;86,51;86,29;85,71;84,35
48903;Loiu;93,24;92,34;92,25;92,77
48058;Mallabia;74,07;75,38;74,48;76,02
48060;Markina-Xemein;74,37;73,64;71,91;71,00
48061;Maruri-Jatabe;87,45;87,88;88,15;89,37
48059;Mañaria;78,33;77,59;74,11;77,24
20901;Mendaro;82,57;81,82;82,28;80,61
48062;Mendata;88,76;86,73;83,33;86,42
48063;Mendexa;81,90;82,98;80,85;77,88
48064;Meñaka;90,42;89,38;87,80;88,16
01039;Moreda de Álava / Moreda Araba;83,02;82,14;75,93;73,47
48066;Morga;92,13;89,80;89,66;85,37
48068;Mundaka;91,54;90,98;91,60;91,32
48069;Mungia;89,84;89,71;89,79;89,55
48007;Munitibar-Arbatzegi Gerrikaitz-;88,64;86,36;84,34;76,92
48908;Murueta;89,16;90,79;88,89;88,31
48071;Muskiz;91,59;92,07;91,11;92,09
20057;Mutiloa;87,27;87,23;83,33;85,71
20056;Mutriku;75,30;73,47;74,38;75,39
48067;Muxika;86,27;84,57;85,67;84,81
48909;Nabarniz;86,89;87,50;85,71;88,14
01041;Navaridas;52,38;58,14;58,97;50,00
20063;Oiartzun;91,29;91,10;90,89;90,94
01042;Okondo;88,01;87,16;87,80;89,21
20058;Olaberria;86,36;87,71;85,56;85,80
48073;Ondarroa;72,95;71,53;74,62;72,61
20076;Ordizia;86,20;84,32;84,44;85,49
20905;Orendain;83,33;82,76;86,54;84,00
20060;Orexa;80,95;80,00;75,00;72,73
20061;Orio;87,91;86,79;86,34;86,04
20062;Ormaiztegi;80,00;84,27;83,00;82,38
48075;Orozko;86,53;84,47;84,86;84,49
48083;Ortuella;93,92;93,35;93,23;93,51
48072;Otxandio;84,21;83,72;83,66;84,17
01043;Oyón-Oion;80,59;81,52;79,09;80,56
20059;Oñati;72,54;72,22;71,73;70,22
20064;Pasaia;93,58;93,49;93,24;94,01
01044;Peñacerrada-Urizaharra;84,13;84,29;82,61;77,05
48077;Plentzia;92,26;91,96;92,56;92,74
48078;Portugalete;95,18;95,15;94,97;94,86
01047;Ribera Baja/Erribera Beitia;83,54;86,28;83,39;84,18
01051;Salvatierra/Agurain;78,73;80,00;80,16;81,18
01052;Samaniego;72,22;66,00;75,00;78,05
01053;San Millán/Donemiliaga;75,47;77,48;76,47;79,58
48082;Santurtzi;94,17;94,21;94,19;94,12
20070;Segura;77,42;76,42;76,99;78,70
48084;Sestao;94,97;95,03;94,87;94,66
48904;Sondika;91,23;90,73;89,33;90,03
48085;Sopela;92,21;92,66;92,86;92,55
48086;Sopuerta;90,43;91,13;90,82;91,21
20065;Soraluze-Placencia de las Armas;83,97;82,27;82,69;81,51
48076;Sukarrieta;87,84;89,06;86,89;86,67
20071;Tolosa;88,39;88,80;88,87;88,19
48087;Trucios-Turtzioz;80,85;83,16;81,71;84,34
48088;Ubide;88,37;86,49;84,38;81,82
48065;Ugao-Miraballes;91,21;91,05;91,29;90,35
48089;Urduliz;93,64;94,03;93,79;94,30
48074;Urduña/Orduña;87,17;87,04;86,37;87,30
01054;Urkabustaiz;87,17;86,53;87,03;86,29
20072;Urnieta;87,14;88,51;87,94;88,05
20077;Urretxu;86,85;86,76;86,34;86,23
20073;Usurbil;89,23;88,81;88,49;88,21
01055;Valdegovía/Gaubea;84,91;83,72;82,45;81,72
48080;Valle de Trápaga-Trapagaran;93,62;93,97;94,11;93,64
20075;Villabona;86,75;86,65;86,62;85,78
