Indicadores municipales de sostenibilidad: Renta personal total (Base CAE=100);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
48911;Ajangiz;112,52;106,73;106,78;114,59;116,59;118,93;116,30;116,68;115,37;116,31;113,00;104,36;99,18;96,81;98,30;102,85
20004;Albiztur;108,92;109,26;109,87;118,65;112,09;118,04;113,56;107,89;115,27;112,17;110,76;109,68;101,55;99,85;100,52;99,14
20005;Alegia;89,23;92,03;94,37;89,55;93,30;94,56;91,96;92,81;90,75;92,38;92,24;88,68;87,91;92,39;90,25;87,36
01001;Alegría-Dulantzi;91,44;95,55;96,04;97,85;98,08;99,81;102,70;102,85;104,38;102,19;106,40;106,14;108,07;112,87;106,81;87,85
20006;Alkiza;102,41;99,41;103,42;104,95;104,74;103,23;106,26;108,64;104,63;103,63;96,70;98,72;90,71;94,58;92,26;89,58
48912;Alonsotegi;83,40;83,11;83,14;82,06;80,59;81,30;82,51;82,41;83,27;81,99;82,68;83,38;84,72;85,20;78,60;78,42
20906;Altzaga;105,94;97,74;97,42;102,17;101,90;107,72;105,57;103,66;107,16;102,05;107,45;104,69;95,48;104,68;88,66;83,49
20007;Altzo;110,31;111,60;115,39;113,40;107,96;111,09;105,56;104,76;108,46;103,68;103,06;104,27;93,28;111,80;103,76;105,77
20008;Amezketa;101,68;111,68;106,59;110,20;107,89;107,49;104,29;100,26;100,83;98,87;100,20;94,54;88,14;103,55;103,64;99,96
48003;Amorebieta-Etxano;100,26;100,26;99,94;100,26;100,61;100,94;99,08;99,22;100,20;99,61;97,71;102,20;98,73;102,04;98,36;96,71
48004;Amoroto;96,94;96,59;93,75;95,73;95,82;96,89;96,43;98,80;98,81;96,97;91,41;92,05;86,47;93,05;89,46;94,79
01002;Amurrio;92,17;93,59;92,86;95,18;94,52;93,61;93,38;97,13;99,94;99,60;97,95;94,52;94,58;94,28;94,26;90,88
20009;Andoain;92,80;93,28;95,85;92,95;93,00;93,17;94,93;93,86;93,47;93,93;93,23;93,46;90,12;91,31;89,00;87,76
20010;Anoeta;95,28;97,52;97,98;95,79;97,20;94,91;95,49;93,36;95,15;97,16;96,65;93,54;89,47;93,83;93,22;92,16
20011;Antzuola;116,43;118,51;118,04;120,45;123,04;124,31;120,75;119,59;114,07;114,78;113,10;111,37;106,80;114,84;110,39;110,20
