Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Construcción  (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20013;Aretxabaleta;3,46;3,61;3,89;3,81;4,07;4,27;4,31;4,28;4,19;4,39;5,11
01006;Armiñón;1,82;2,00;2,17;1,11;4,40;3,45;5,80;5,80;5,56;9,72;7,46
01037;Arraia-Maeztu;5,39;6,69;6,16;6,51;6,54;5,51;4,69;5,81;6,39;6,67;6,62
48009;Arrankudiaga;6,81;6,80;7,12;5,82;7,05;6,47;6,89;8,71;8,70;10,68;11,56
20055;Arrasate/Mondragón;3,15;3,01;3,01;2,90;3,06;3,09;3,11;2,94;3,03;2,85;3,20
48914;Arratzu;6,49;5,44;6,16;6,12;6,08;6,21;5,63;5,04;5,88;5,97;6,62
01008;Arratzua-Ubarrundia;8,23;9,39;9,34;8,70;6,95;6,62;7,25;7,75;8,46;8,79;9,32
48010;Arrieta;5,98;6,64;4,66;6,06;6,01;6,67;7,08;7,11;8,33;8,46;9,41
48011;Arrigorriaga;5,67;5,66;6,14;6,10;5,84;5,95;6,58;6,70;6,63;7,05;7,58
48023;Artea;4,53;3,97;3,76;3,58;3,36;3,69;4,23;3,11;4,15;3,47;3,88
48008;Artzentales;10,61;10,57;10,08;9,33;11,57;9,13;10,51;11,02;12,76;15,42;16,97
01004;Artziniega;6,24;5,52;5,89;5,84;6,12;6,34;5,89;5,38;6,24;5,53;6,67
01009;Asparrena;3,33;2,18;2,64;2,38;2,84;3,08;2,84;2,99;2,40;3,27;2,50
20014;Asteasu;7,06;7,59;7,59;7,89;8,32;8,48;8,79;8,94;9,28;8,32;9,71
20903;Astigarraga;6,67;7,28;7,57;7,35;7,26;7,17;7,11;7,30;7,94;8,34;9,16
20015;Ataun;5,40;5,71;5,55;5,45;5,01;5,70;5,61;5,61;5,94;6,36;6,76
48091;Atxondo;4,21;4,60;4,12;4,08;4,51;4,56;4,82;4,58;5,31;4,79;5,04
48070;Aulesti;5,75;7,41;7,69;5,13;6,58;5,41;5,19;5,19;5,63;4,48;5,00
01010;Ayala/Aiara;6,61;6,53;7,53;7,43;6,47;6,03;5,77;6,28;6,06;6,67;6,98
20017;Azkoitia;5,08;5,19;5,46;5,41;5,42;5,49;5,57;5,69;6,05;6,11;6,80
20018;Azpeitia;6,31;6,55;6,58;6,61;6,68;6,73;6,95;7,39;7,68;8,08;8,57
01049;Añana;8,70;2,22;2,44;2,08;3,70;5,26;3,92;5,77;5,88;6,52;5,77
48012;Bakio;4,51;5,03;4,64;4,79;5,35;5,57;5,53;4,81;5,55;6,04;6,32
20904;Baliarrain;6,25;6,90;7,41;9,43;7,41;6,00;8,89;8,00;8,16;13,73;12,00
48090;Balmaseda;6,82;6,47;6,31;6,47;5,92;5,92;5,67;5,83;6,24;5,92;5,89
48013;Barakaldo;7,70;7,66;7,62;7,52;7,58;7,49;7,38;7,34;7,33;7,40;8,19
48014;Barrika;6,68;7,10;7,08;6,88;7,27;7,08;7,13;7,40;7,62;7,87;8,49
01013;Barrundia;4,52;3,69;3,33;2,98;3,23;3,25;3,26;3,01;3,83;3,50;4,55
48015;Basauri;7,16;7,12;7,28;7,16;7,12;6,91;6,86;6,90;6,92;7,01;7,48
01011;Baños de Ebro/Mañueta;1,39;2,54;1,77;1,82;2,68;1,77;2,59;2,78;2,68;1,82;1,82
20019;Beasain;7,91;7,60;7,60;7,13;6,64;6,38;6,14;5,92;5,82;6,72;6,74
48092;Bedia;6,72;6,29;5,39;5,48;4,53;5,28;6,12;5,96;6,85;6,10;6,15
20020;Beizama;7,35;7,35;7,58;9,09;9,84;10,77;11,67;16,36;14,06;10,53;11,54
20021;Belauntza;8,46;9,38;9,17;8,59;8,73;10,32;10,40;13,01;12,40;12,31;14,93
48016;Berango;4,70;4,74;5,10;5,12;5,39;5,72;5,56;5,87;5,72;6,00;6,47
01014;Berantevilla;4,88;7,41;5,26;6,41;4,05;4,64;5,04;2,96;5,76;4,86;4,49
20022;Berastegi;6,45;6,84;6,42;7,28;8,00;8,74;10,19;10,54;10,98;10,63;12,29
20074;Bergara;3,94;4,06;4,06;3,89;4,06;3,92;4,02;3,94;3,82;3,92;4,20
48017;Bermeo;6,66;6,46;6,52;6,31;6,43;6,52;6,45;6,63;6,47;7,07;7,74
01016;Bernedo;3,91;3,41;3,98;4,07;5,33;4,65;4,09;4,23;5,91;6,19;6,00
48018;Berriatua;3,95;2,87;3,29;2,46;2,05;2,09;2,12;2,97;3,40;3,71;4,59
48019;Berriz;3,77;3,62;4,00;4,16;3,98;3,72;3,86;3,99;4,13;4,29;4,66
20023;Berrobi;3,93;4,72;5,24;5,45;5,76;4,66;5,44;5,17;5,78;6,70;6,91
20024;Bidania-Goiatz;4,17;3,32;4,26;4,72;5,49;6,30;6,25;7,96;9,52;10,43;12,56
48020;Bilbao;6,03;5,92;5,96;5,78;5,77;5,54;5,47;5,51;5,47;5,53;6,08
48021;Busturia;4,57;5,08;5,60;5,62;5,68;5,85;5,68;5,56;6,15;6,29;7,49
01017;Campezo/Kanpezu;5,49;5,64;5,31;5,46;5,41;6,50;7,27;6,91;6,09;7,39;10,26
20029;Deba;4,07;4,15;4,13;4,30;4,57;4,56;5,02;5,10;5,28;5,76;5,61
48901;Derio;6,43;6,55;6,67;6,09;5,97;5,90;5,69;5,93;5,42;5,15;6,43
48026;Dima;5,56;3,99;4,72;4,58;4,67;5,25;5,90;6,16;5,12;5,65;6,78
20069;Donostia / San Sebastián;4,34;4,49;4,51;4,42;4,43;4,36;4,36;4,33;4,43;4,54;4,77
48027;Durango;4,12;3,90;4,07;4,05;3,87;3,84;3,68;3,73;3,90;3,94;4,45
48028;Ea;10,25;11,19;11,55;11,19;10,36;11,07;11,85;12,50;13,50;12,55;12,59
20030;Eibar;4,37;4,18;3,94;4,02;3,84;3,66;3,66;3,78;3,98;3,92;4,24
48031;Elantxobe;5,26;4,12;3,81;4,63;3,74;4,85;4,76;4,95;5,00;5,26;4,12
01021;Elburgo/Burgelu;5,11;5,47;4,38;4,63;4,23;3,39;4,53;4,91;4,96;4,04;3,60
01022;Elciego;2,66;2,24;1,92;2,51;2,50;2,24;2,23;2,98;2,65;2,71;3,55
20031;Elduain;3,97;4,20;3,57;3,39;2,86;1,89;1,92;1,87;3,00;3,09;3,00
20033;Elgeta;1,53;2,02;2,00;1,77;0,98;1,80;1,97;2,06;1,91;2,44;3,53
20032;Elgoibar;3,74;3,74;3,88;3,74;3,83;3,78;3,76;3,79;3,68;3,45;3,67
48032;Elorrio;2,84;2,82;2,93;2,59;2,66;2,48;2,59;2,57;2,74;2,60;2,67
01023;Elvillar/Bilar;1,86;2,19;1,45;1,47;2,22;1,48;1,50;3,20;2,24;2,29;3,62
48902;Erandio;7,47;7,40;7,67;7,18;7,25;6,83;7,02;6,80;6,95;7,37;8,03
48033;Ereño;7,78;9,20;7,06;9,30;6,59;8,99;9,20;9,30;7,79;6,02;8,89
48034;Ermua;5,31;5,14;4,86;4,88;4,95;4,86;5,01;5,40;5,59;6,10;6,36
20067;Errenteria;6,38;6,65;6,91;7,02;7,07;6,99;6,76;6,78;6,87;7,02;7,15
20066;Errezil;6,19;6,57;8,24;8,21;8,89;10,00;8,43;8,53;8,47;10,12;11,24
01046;Erriberagoitia/Ribera Alta;7,14;7,77;7,55;7,09;7,33;7,41;6,67;7,36;7,11;8,37;8,76
48079;Errigoiti;6,38;6,11;6,40;6,25;6,43;7,73;8,24;7,19;7,53;8,67;9,74
20034;Eskoriatza;5,03;4,65;4,62;4,46;4,10;4,11;4,10;4,37;5,12;4,42;5,08
48029;Etxebarri;7,89;7,82;7,98;7,94;8,30;8,11;7,87;7,69;7,69;8,19;8,63
48030;Etxebarria;5,10;5,71;5,91;6,30;6,18;5,82;6,17;6,06;5,69;6,08;6,64
20035;Ezkio-Itsaso;6,34;6,67;6,48;5,86;6,32;7,88;7,26;6,64;8,30;8,97;9,05
48906;Forua;8,01;9,07;8,54;8,49;8,01;8,42;9,35;10,17;11,94;8,75;10,19
48035;Fruiz;6,53;7,79;8,00;7,37;8,29;8,21;8,70;9,50;9,41;8,46;7,46
20038;Gabiria;7,98;7,83;6,45;5,00;4,95;5,02;5,07;4,33;4,35;4,69;4,07
20037;Gaintza;4,00;4,08;3,92;4,26;6,00;6,52;6,12;6,25;6,25;5,66;8,16
