Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Construcción  (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48088;Ubide;5,41;5,41;6,15;5,97;4,62;6,15;6,45;8,82;9,86;7,69;6,67
48065;Ugao-Miraballes;6,73;6,94;6,83;6,60;6,36;6,49;6,18;6,54;6,50;6,87;7,72
48089;Urduliz;5,07;5,17;5,09;5,00;5,75;5,22;5,16;5,39;5,52;5,23;6,50
48074;Urduña/Orduña;5,61;5,38;5,79;5,25;5,68;5,57;6,09;5,87;5,85;5,55;5,53
01054;Urkabustaiz;3,78;3,97;4,39;4,64;5,34;4,36;4,67;4,32;4,41;4,73;4,36
20072;Urnieta;7,86;8,42;8,63;8,76;8,71;8,39;8,50;8,67;9,16;9,42;10,13
20077;Urretxu;5,09;5,20;5,19;5,36;5,63;5,68;6,16;6,25;6,67;6,62;6,85
20073;Usurbil;6,35;6,55;6,32;6,20;6,26;6,42;6,60;6,51;6,74;6,66;7,01
01055;Valdegovía/Gaubea;7,50;5,56;5,15;4,79;4,30;4,83;4,17;3,57;4,35;4,81;5,49
48080;Valle de Trápaga-Trapagaran;7,77;7,76;7,70;7,60;7,26;7,97;7,90;8,32;7,94;7,79;8,59
20075;Villabona;5,68;5,66;5,85;6,00;6,36;6,50;6,28;6,41;6,46;6,46;6,76
01057;Villabuena de Álava/Eskuernaga;4,62;5,04;5,22;4,80;4,10;4,03;3,76;3,88;4,24;4,20;3,33
01059;Vitoria-Gasteiz;4,54;4,48;4,50;4,35;4,39;4,29;4,26;4,27;4,40;4,52;5,11
01060;Yécora/Iekora;3,12;1,47;2,90;2,82;4,11;5,06;3,61;3,70;3,61;4,65;4,71
48095;Zaldibar;3,88;4,06;4,12;4,42;3,98;3,55;3,89;4,00;4,00;3,36;3,63
20078;Zaldibia;10,56;9,65;10,25;9,46;9,09;8,25;8,32;7,72;8,27;7,89;9,89
01061;Zalduondo;2,63;3,08;2,99;3,12;4,11;4,48;4,55;4,48;2,86;1,45;4,76
48096;Zalla;8,56;8,49;8,42;7,82;8,18;7,90;7,64;7,72;7,77;7,99;8,46
01062;Zambrana;2,86;4,63;2,80;3,48;2,75;3,16;2,15;3,19;2,35;1,18;1,27
48905;Zamudio;5,71;5,85;5,09;5,24;5,42;4,63;4,83;4,70;4,61;4,63;5,03
48097;Zaratamo;8,08;7,81;9,31;8,23;9,48;8,53;8,59;7,96;7,81;8,04;8,72
20079;Zarautz;5,05;5,13;5,19;5,20;5,16;5,22;5,36;5,48;5,51;5,57;5,95
48024;Zeanuri;4,27;3,94;3,65;3,45;4,07;3,74;4,08;3,66;4,04;3,95;4,06
48025;Zeberio;4,36;4,67;5,20;5,39;4,19;4,35;4,73;4,83;5,07;5,51;6,38
20025;Zegama;4,01;4,14;4,64;4,50;4,85;3,53;3,29;3,44;3,89;4,40;4,62
20026;Zerain;4,67;3,67;4,08;2,97;3,96;3,85;3,81;4,67;5,61;5,36;5,94
20027;Zestoa;5,53;5,62;5,60;5,58;5,76;5,52;5,93;5,92;6,06;5,26;6,13
48913;Zierbena;5,36;5,39;5,30;5,79;5,59;5,06;4,58;4,44;5,99;6,30;7,20
01018;Zigoitia;5,99;6,42;6,58;6,41;6,21;6,14;6,90;7,21;7,44;8,48;8,48
48915;Ziortza-Bolibar;5,15;6,02;6,98;6,45;6,11;6,03;3,64;2,97;2,91;3,12;5,42
20028;Zizurkil;7,65;8,11;7,83;7,63;7,99;8,11;7,82;8,42;8,86;7,93;9,62
01063;Zuia;4,99;4,39;4,82;5,21;5,39;5,75;5,23;5,36;4,99;5,61;6,12
20081;Zumaia;4,56;4,71;4,82;4,71;4,53;4,89;4,85;5,13;5,46;5,37;5,57
20080;Zumarraga;4,74;5,00;4,86;5,01;4,86;4,59;4,96;4,94;5,40;5,41;5,79
