Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Primario (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20071;Tolosa;0,61;0,51;0,52;0,52;0,61;0,66;0,75;0,74;0,77;0,66;0,68
48087;Trucios-Turtzioz;7,91;8,72;10,62;9,03;9,42;10,69;11,36;10,71;12,14;13,64;11,64
48088;Ubide;4,05;5,41;4,62;5,97;7,69;6,15;8,06;7,35;8,45;9,23;11,67
48065;Ugao-Miraballes;0,11;0,29;0,23;0,39;0,46;0,46;0,54;0,60;0,55;0,56;0,68
48089;Urduliz;0,62;0,78;0,80;0,71;0,73;0,80;0,78;1,05;1,10;0,96;0,93
48074;Urduña/Orduña;2,41;2,69;2,80;2,69;2,65;2,82;2,91;2,66;2,86;3,02;2,70
01054;Urkabustaiz;7,10;7,28;7,54;7,63;7,06;8,38;9,16;9,59;9,40;9,86;9,90
20072;Urnieta;1,51;1,48;1,56;1,52;1,61;1,62;1,66;1,69;1,67;1,64;1,67
20077;Urretxu;0,42;0,51;0,49;0,45;0,48;0,46;0,51;0,44;0,49;0,45;0,49
20073;Usurbil;1,40;1,40;1,48;1,50;1,57;1,78;1,79;1,83;1,95;1,94;1,78
01055;Valdegovía/Gaubea;11,88;13,19;14,09;13,70;12,58;13,79;14,24;13,57;15,58;16,30;16,12
48080;Valle de Trápaga-Trapagaran;0,33;0,22;0,21;0,20;0,23;0,25;0,28;0,28;0,27;0,27;0,23
20075;Villabona;1,65;1,67;1,69;1,69;1,56;1,31;1,40;1,58;1,54;1,58;1,53
01057;Villabuena de Álava/Eskuernaga;42,31;47,90;49,57;49,60;51,64;50,00;45,86;48,84;56,78;58,82;55,00
01059;Vitoria-Gasteiz;0,48;0,39;0,40;0,38;0,40;0,40;0,39;0,41;0,43;0,41;0,41
01060;Yécora/Iekora;42,71;58,82;57,97;59,15;63,01;59,49;60,24;59,26;60,24;58,14;61,18
48095;Zaldibar;0,99;0,86;0,81;0,71;0,78;1,10;0,95;1,04;1,14;1,09;1,07
20078;Zaldibia;2,64;2,63;3,12;2,91;3,43;3,75;4,16;3,94;3,74;3,70;4,38
01061;Zalduondo;5,26;6,15;5,97;4,69;4,11;4,48;7,58;10,45;10,00;11,59;9,52
48096;Zalla;2,61;2,42;2,83;3,51;3,08;3,10;3,16;3,18;2,92;3,02;2,81
01062;Zambrana;8,57;10,19;11,21;10,43;10,09;10,53;12,90;11,70;12,94;12,94;12,66
48905;Zamudio;1,48;1,20;1,15;1,05;1,21;1,21;1,10;1,32;0,95;1,01;1,06
48097;Zaratamo;0,58;1,03;1,22;0,90;0,74;0,60;0,44;0,47;1,07;0,80;0,46
20079;Zarautz;0,88;0,94;0,98;0,95;0,99;1,08;1,06;1,13;1,07;1,09;1,02
48024;Zeanuri;3,74;3,94;4,38;4,55;4,44;4,86;5,19;5,31;5,15;5,92;6,00
48025;Zeberio;2,90;2,22;2,26;2,70;2,21;3,20;2,93;2,76;3,14;3,51;3,06
20025;Zegama;2,08;1,84;2,48;2,70;2,97;3,04;3,13;3,09;2,87;3,05;3,02
20026;Zerain;10,28;11,01;10,20;11,88;11,88;10,58;12,38;11,21;11,21;9,82;10,89
20027;Zestoa;3,27;3,40;3,84;3,89;4,01;3,81;3,81;3,99;4,73;4,97;4,73
48913;Zierbena;1,84;1,80;1,52;1,50;1,60;1,42;2,08;1,78;1,15;2,02;2,57
01018;Zigoitia;4,12;4,60;4,66;5,07;5,24;5,21;4,83;4,81;4,86;5,03;5,03
48915;Ziortza-Bolibar;5,88;6,02;6,98;6,45;5,34;6,90;8,18;8,91;8,74;9,38;5,42
20028;Zizurkil;1,68;1,74;1,64;1,65;2,00;1,89;1,90;2,39;1,96;1,92;2,21
01063;Zuia;3,42;3,52;3,61;3,44;3,69;3,33;3,35;3,43;3,26;3,67;3,97
20081;Zumaia;0,58;0,58;0,61;0,70;0,85;0,79;0,89;0,85;0,88;0,87;0,86
20080;Zumarraga;0,45;0,42;0,38;0,34;0,37;0,39;0,46;0,53;0,47;0,40;0,44
