Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Primario (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20013;Aretxabaleta;0,65;0,54;0,68;0,67;0,60;0,67;0,58;0,55;0,59;0,62;0,63
01006;Armiñón;4,55;7,00;7,61;8,89;8,79;8,05;10,14;13,04;15,28;13,89;16,42
01037;Arraia-Maeztu;11,78;13,03;14,49;13,01;15,00;16,14;16,41;15,89;15,79;16,47;17,28
48009;Arrankudiaga;0,70;1,01;1,58;2,28;1,83;1,89;2,48;2,53;2,90;2,37;2,50
20055;Arrasate/Mondragón;0,27;0,21;0,20;0,19;0,20;0,20;0,18;0,20;0,23;0,19;0,17
48914;Arratzu;1,30;1,36;1,37;1,36;1,35;1,38;1,41;1,44;1,47;1,49;1,47
01008;Arratzua-Ubarrundia;4,33;5,40;4,80;5,07;5,52;5,64;5,96;6,00;5,97;6,46;6,30
48010;Arrieta;7,17;5,81;5,93;5,63;6,87;6,22;6,19;6,67;7,84;7,96;8,42
48011;Arrigorriaga;0,37;0,16;0,25;0,23;0,19;0,19;0,28;0,29;0,25;0,26;0,30
48023;Artea;1,94;1,81;1,50;2,87;2,01;2,21;1,92;2,72;2,26;1,93;3,10
48008;Artzentales;7,95;8,94;9,30;8,96;8,21;9,13;8,95;8,57;8,23;8,37;8,26
01004;Artziniega;1,91;2,34;2,24;2,23;2,09;2,07;2,24;2,18;2,32;2,47;2,61
01009;Asparrena;6,20;6,53;6,85;6,79;6,68;6,98;8,03;8,31;8,90;9,12;9,12
20014;Asteasu;5,65;6,21;7,17;7,20;6,46;7,90;8,05;8,06;7,54;8,02;8,50
20903;Astigarraga;1,38;1,32;1,32;1,36;1,44;1,47;1,69;1,76;1,82;2,14;2,08
20015;Ataun;5,85;6,02;6,53;6,33;6,33;6,28;6,56;6,60;6,76;7,31;7,43
