Indicadores municipales de sostenibilidad: Renta personal total (?);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
20600;Tolosaldea / Tolosa;26.303,00;23.859,00;23.252,00;22.871,00;22.139,00;21.797,00;20.813,00;20.413,00;19.901,00;19.838,00;20.505,00;19.870,00;16.835,00;13.767,00;12.665,00;9.717,00
20700;Urola-Kostaldea / Urola Costa;26.949,00;25.030,00;24.169,00;24.613,00;23.004,00;22.234,00;21.267,00;20.827,00;19.889,00;19.603,00;20.206,00;20.401,00;16.833,00;13.952,00;12.976,00;9.763,00
"";;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001;1997
48001;Abadiño;23.992,00;22.782,00;23.350,00;22.558,00;21.468,00;21.429,00;20.907,00;20.364,00;19.690,00;19.133,00;19.440,00;19.111,00;17.224,00;14.292,00;12.343,00;9.557,00
20001;Abaltzisketa;25.410,00;25.319,00;31.985,00;25.290,00;24.382,00;34.346,00;20.460,00;19.835,00;21.637,00;21.723,00;23.782,00;20.451,00;17.248,00;14.195,00;12.756,00;8.818,00
48002;Abanto y Ciérvana-Abanto Zierbena;21.739,00;20.371,00;19.493,00;19.637,00;18.586,00;17.978,00;17.514,00;17.186,00;16.727,00;16.599,00;16.916,00;17.109,00;15.603,00;12.021,00;10.764,00;8.228,00
20002;Aduna;28.544,00;25.457,00;25.526,00;27.058,00;25.744,00;26.051,00;22.624,00;22.596,00;21.538,00;20.580,00;21.585,00;21.279,00;18.826,00;13.740,00;10.643,00;8.134,00
20016;Aia;24.999,00;22.975,00;22.314,00;21.367,00;20.524,00;20.387,00;19.844,00;18.886,00;18.209,00;18.293,00;18.226,00;17.876,00;13.771,00;11.540,00;10.135,00;8.532,00
20003;Aizarnazabal;24.932,00;22.777,00;22.277,00;22.932,00;21.318,00;21.021,00;20.430,00;19.607,00;17.957,00;17.216,00;18.723,00;20.093,00;14.368,00;13.588,00;11.712,00;9.152,00
48911;Ajangiz;28.198,00;24.883,00;23.857,00;25.837,00;25.017,00;25.075,00;23.604,00;23.299,00;22.358,00;22.470,00;22.278,00;20.486,00;17.220,00;13.212,00;12.461,00;10.170,00
20004;Albiztur;27.297,00;25.471,00;24.548,00;26.754,00;24.053,00;24.887,00;23.047,00;21.543,00;22.338,00;21.670,00;21.837,00;21.531,00;17.631,00;13.627,00;12.742,00;9.803,00
20005;Alegia;22.363,00;21.456,00;21.086,00;20.191,00;20.021,00;19.936,00;18.664,00;18.532,00;17.586,00;17.846,00;18.185,00;17.408,00;15.263,00;12.609,00;11.440,00;8.638,00
01001;Alegría-Dulantzi;22.916,00;22.275,00;21.459,00;22.064,00;21.047,00;21.043,00;20.843,00;20.537,00;20.228,00;19.743,00;20.976,00;20.837,00;18.763,00;15.404,00;13.539,00;8.687,00
20006;Alkiza;25.664,00;23.176,00;23.107,00;23.665,00;22.476,00;21.764,00;21.566,00;21.694,00;20.277,00;20.020,00;19.064,00;19.380,00;15.749,00;12.908,00;11.695,00;8.858,00
48912;Alonsotegi;20.901,00;19.375,00;18.576,00;18.504,00;17.294,00;17.141,00;16.746,00;16.456,00;16.137,00;15.839,00;16.301,00;16.368,00;14.709,00;11.627,00;9.963,00;7.754,00
20906;Altzaga;26.549,00;22.787,00;21.767,00;23.037,00;21.865,00;22.711,00;21.426,00;20.698,00;20.767,00;19.715,00;21.184,00;20.552,00;16.577,00;14.286,00;11.238,00;8.255,00
20007;Altzo;27.646,00;26.018,00;25.781,00;25.569,00;23.165,00;23.422,00;21.424,00;20.919,00;21.019,00;20.029,00;20.318,00;20.469,00;16.195,00;15.258,00;13.152,00;10.459,00
