Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector construcción (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;0,77;0,49;0,59;0,58
48032;Elorrio;0,69;0,78;0,85;0,87
01023;Elvillar/Bilar;0,00;0,00;0,00;0,00
48902;Erandio;1,68;1,47;1,39;1,43
48033;Ereño;0,00;0,00;0,00;0,00
48034;Ermua;1,15;1,19;1,14;1,08
20067;Errenteria;0,95;0,87;0,97;1,01
20066;Errezil;0,76;0,78;0,78;0,71
01046;Erriberagoitia/Ribera Alta;2,99;2,51;3,06;3,35
48079;Errigoiti;0,00;0,00;0,00;0,00
20034;Eskoriatza;1,40;1,44;1,28;0,94
48029;Etxebarri;1,74;1,65;1,87;1,92
48030;Etxebarria;1,32;1,23;1,32;1,83
20035;Ezkio-Itsaso;0,00;0,00;0,00;0,70
48906;Forua;3,40;4,28;4,89;5,00
48035;Fruiz;1,52;2,29;2,26;3,10
20038;Gabiria;1,65;2,54;1,90;0,00
20037;Gaintza;0,00;0,00;0,00;0,00
48036;Galdakao;1,50;1,56;1,57;1,66
48037;Galdames;0,00;0,00;0,68;0,68
48038;Gamiz-Fika;1,53;0,32;0,33;0,66
48039;Garai;2,67;2,67;2,99;1,35
48040;Gatika;3,06;2,83;3,06;2,23
48041;Gautegiz Arteaga;1,44;1,49;1,05;1,09
20907;Gaztelu;2,63;2,94;3,23;3,33
48046;Gernika-Lumo;0,98;0,93;1,10;0,94
20039;Getaria;1,30;1,19;1,26;1,56
48044;Getxo;1,79;1,62;1,65;1,60
48047;Gizaburuaga;0,00;0,00;0,00;0,00
48042;Gordexola;1,05;1,04;0,81;1,70
48043;Gorliz;1,91;1,70;2,04;1,82
48045;Güeñes;1,47;1,46;1,34;1,42
01056;Harana/Valle de Arana;0,00;0,00;0,00;0,00
20040;Hernani;0,99;1,18;1,03;1,11
20041;Hernialde;2,78;4,41;3,12;4,62
20036;Hondarribia;1,38;1,55;1,31;1,44
20042;Ibarra;0,68;0,93;1,21;1,63
48048;Ibarrangelu;2,16;0,66;0,75;0,00
20043;Idiazabal;1,09;0,88;1,11;0,86
48094;Igorre;0,35;0,85;0,97;0,95
20044;Ikaztegieta;0,00;0,00;0,00;0,00
20045;Irun;1,18;1,18;1,10;1,11
20046;Irura;1,60;1,21;1,23;1,73
01027;Iruraiz-Gauna;0,00;1,40;0,76;0,75
01901;Iruña Oka/Iruña de Oca;1,31;1,20;1,67;1,21
48049;Ispaster;2,63;3,50;2,80;3,68
20047;Itsasondo;0,00;0,00;0,00;0,00
48910;Iurreta;1,08;0,81;1,42;0,70
48050;Izurtza;0,00;0,00;0,00;0,00
48022;Karrantza Harana/Valle de Carranza;0,40;0,63;0,22;0,22
48907;Kortezubi;0,95;1,92;0,96;1,02
01019;Kripan;2,63;2,50;3,03;0,00
01020;Kuartango;2,74;2,50;1,54;1,43
01028;Labastida/Bastida;0,62;0,98;1,43;1,45
01030;Lagrán;6,90;3,33;3,70;0,00
01031;Laguardia;0,94;0,62;0,33;0,95
01032;Lanciego/Lantziego;0,00;0,00;0,00;0,00
48051;Lanestosa;2,17;2,00;2,38;2,56
01902;Lantarón;0,00;0,67;0,00;0,00
01033;Lapuebla de Labarca;0,00;0,00;0,00;0,65
48052;Larrabetzu;0,59;0,81;1,24;1,03
20048;Larraul;0,00;0,00;0,00;0,00
20902;Lasarte-Oria;1,45;1,50;1,57;1,55
01036;Laudio/Llodio;1,04;1,17;1,19;1,14
48053;Laukiz;3,10;2,97;2,28;3,08
20049;Lazkao;1,04;0,91;1,19;1,55
20050;Leaburu;1,28;1,33;1,52;1,43
20051;Legazpi;1,45;1,51;1,47;1,19
20052;Legorreta;1,29;1,66;1,01;1,37
01058;Legutio;1,16;0,69;1,01;1,07
20068;Leintz-Gatzaga;0,00;0,00;0,00;0,00
48054;Leioa;1,91;1,84;2,05;1,89
48057;Lekeitio;0,54;0,49;0,56;0,65
48055;Lemoa;0,73;0,64;0,80;1,18
48056;Lemoiz;1,91;1,30;1,01;0,36
01034;Leza;6,25;5,71;5,26;7,69
48081;Lezama;1,93;2,65;2,43;2,91
20053;Lezo;1,17;1,35;1,34;1,28
20054;Lizartza;0,79;0,81;0,89;0,87
48903;Loiu;1,39;1,24;1,17;2,34
48058;Mallabia;1,48;1,54;1,67;1,63
48060;Markina-Xemein;0,94;1,45;1,78;1,64
48061;Maruri-Jatabe;2,51;2,16;1,90;0,48
48059;Mañaria;3,33;4,31;4,46;3,25
20901;Mendaro;1,38;1,44;1,52;1,40
48062;Mendata;4,49;3,06;3,33;3,70
48063;Mendexa;0,95;2,13;2,13;0,96
48064;Meñaka;1,80;1,25;1,22;1,32
01039;Moreda de Álava / Moreda Araba;0,00;0,00;0,00;0,00
48066;Morga;1,12;1,02;2,30;2,44
48068;Mundaka;0,75;1,00;0,76;0,53
48069;Mungia;1,34;1,47;1,23;1,47
48007;Munitibar-Arbatzegi Gerrikaitz-;0,00;0,00;0,00;1,28
48908;Murueta;2,41;2,63;2,78;2,60
48071;Muskiz;1,90;1,98;2,22;2,42
20057;Mutiloa;0,00;0,00;0,00;0,00
20056;Mutriku;1,38;1,31;1,57;1,47
48067;Muxika;1,79;1,54;1,27;1,58
48909;Nabarniz;1,64;1,56;1,59;3,39
01041;Navaridas;2,38;2,33;0,00;3,33
20063;Oiartzun;1,18;0,99;1,15;1,25
01042;Okondo;1,50;1,56;0,39;0,00
20058;Olaberria;0,57;0,56;0,00;0,00
48073;Ondarroa;0,30;0,36;0,20;0,25
20076;Ordizia;1,30;1,25;1,40;1,31
20905;Orendain;0,00;0,00;1,92;2,00
20060;Orexa;0,00;0,00;0,00;0,00
20061;Orio;1,98;2,60;2,72;2,36
20062;Ormaiztegi;0,83;0,81;0,81;0,38
48075;Orozko;0,51;0,68;0,35;0,36
48083;Ortuella;1,53;1,59;1,72;1,79
48072;Otxandio;1,13;1,16;1,17;1,54
01043;Oyón-Oion;1,25;1,32;1,18;0,37
20059;Oñati;0,90;0,80;0,78;0,76
20064;Pasaia;1,05;1,04;1,07;0,93
01044;Peñacerrada-Urizaharra;0,00;0,00;0,00;0,00
48077;Plentzia;1,74;2,21;2,21;2,28
48078;Portugalete;1,29;1,41;1,45;1,45
01047;Ribera Baja/Erribera Beitia;2,80;2,13;2,24;1,27
01051;Salvatierra/Agurain;0,47;0,67;0,81;0,78
01052;Samaniego;0,00;2,00;0,00;0,00
01053;San Millán/Donemiliaga;1,89;1,99;1,96;0,70
48082;Santurtzi;1,57;1,57;1,54;1,52
20070;Segura;1,47;1,49;1,84;1,23
48084;Sestao;1,24;1,19;1,26;1,20
48904;Sondika;1,45;1,60;1,64;1,51
48085;Sopela;1,99;1,52;1,73;1,87
48086;Sopuerta;3,48;2,66;2,25;1,95
20065;Soraluze-Placencia de las Armas;0,87;0,45;0,59;0,55
48076;Sukarrieta;2,70;3,12;3,28;3,33
20071;Tolosa;1,19;1,23;1,28;1,27
48087;Trucios-Turtzioz;1,06;1,05;1,22;1,20
48088;Ubide;2,33;2,70;3,12;3,03
48065;Ugao-Miraballes;1,39;1,79;1,91;1,88
48089;Urduliz;1,27;1,21;1,14;1,00
48074;Urduña/Orduña;1,18;1,19;2,02;1,31
01054;Urkabustaiz;0,29;0,30;0,63;0,31
20072;Urnieta;1,72;1,47;1,24;1,43
20077;Urretxu;1,65;1,47;1,39;1,44
20073;Usurbil;1,35;1,39;1,59;1,47
01055;Valdegovía/Gaubea;0,00;0,47;0,00;0,00
48080;Valle de Trápaga-Trapagaran;1,53;1,62;1,52;1,60
20075;Villabona;1,28;1,16;1,28;1,45
01057;Villabuena de Álava/Eskuernaga;0,00;0,00;0,00;2,04
01059;Vitoria-Gasteiz;1,20;1,18;1,24;1,14
01060;Yécora/Iekora;0,00;0,00;2,78;0,00
48095;Zaldibar;0,64;0,64;0,68;1,35
20078;Zaldibia;2,95;2,85;2,62;2,10
01061;Zalduondo;0,00;0,00;0,00;0,00
48096;Zalla;1,68;1,57;1,42;1,35
01062;Zambrana;1,47;2,53;1,33;0,00
48905;Zamudio;1,62;1,85;1,88;1,62
48097;Zaratamo;2,28;1,98;1,98;1,74
20079;Zarautz;2,00;1,89;1,87;1,77
48024;Zeanuri;0,00;0,00;0,00;0,36
48025;Zeberio;1,17;0,40;0,88;1,25
20025;Zegama;0,95;1,28;1,95;2,30
20026;Zerain;0,00;0,00;0,00;0,00
20027;Zestoa;1,71;1,39;1,47;1,63
48913;Zierbena;1,43;1,90;1,61;1,89
01018;Zigoitia;2,99;2,52;2,30;1,66
48915;Ziortza-Bolibar;0,00;0,00;0,00;0,00
20028;Zizurkil;2,61;2,24;2,36;2,84
01063;Zuia;0,93;0,92;0,95;1,47
20081;Zumaia;0,84;1,00;1,20;1,09
20080;Zumarraga;1,29;1,12;0,99;1,09
