Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por pensionista;;;
"";;;
Resumen de datos;;;
Entidad;;2022;2021
Araba/Álava;;1,87;1,75
Bizkaia;;1,71;1,61
CAE;;1,74;1,64
Gipuzkoa;;1,74;1,65
"";;;
Detalle por comarcas;;;
Código comarca;Comarca;2022;2021
01100;Arabako Ibarrak / Valles Alaveses;1,66;1,41
01200;Arabako Lautada / Llanada Alavesa;1,90;1,79
01300;Arabako Mendialdea / Montaña Alavesa;1,33;1,20
48100;Arratia Nerbioi / Arratia-Nervión;1,76;1,71
20200;Bidasoa Beherea / Bajo Bidasoa;1,78;1,66
48200;Bilbo Handia / Gran Bilbao;1,69;1,58
20100;Deba Beherea / Bajo Deba;1,54;1,48
20300;Debagoiena / Alto Deba;1,54;1,49
20400;Donostialdea / Donostia-San Sebastián;1,74;1,63
48300;Durangaldea / Duranguesado;1,81;1,76
48400;Enkartazioak / Encartaciones;1,65;1,55
01400;Errioxa Arabarra / Rioja Alavesa;1,82;1,32
48500;Gernika-Bermeo;1,46;1,40
20500;Goierri;1,81;1,74
01500;Gorbeia Inguruak / Estribaciones del Gorbea;1,99;1,92
01600;Kantauri Arabarra / Cantábrica Alavesa;1,73;1,66
48600;Markina-Ondarroa;1,40;1,36
48700;Plentzia-Mungia;2,25;2,14
20600;Tolosaldea / Tolosa;1,81;1,73
20700;Urola-Kostaldea / Urola Costa;1,96;1,91
"";;;
Detalle por municipios;;;
Código municipio;Municipio;2022;2021
48001;Abadiño;1,78;1,73
20001;Abaltzisketa;2,34;2,31
48002;Abanto y Ciérvana-Abanto Zierbena;1,92;1,85
20002;Aduna;2,59;2,47
20016;Aia;0,85;0,89
20003;Aizarnazabal;1,91;1,80
48911;Ajangiz;1,52;1,47
20004;Albiztur;1,82;1,73
20005;Alegia;1,80;1,67
01001;Alegría-Dulantzi;3,34;3,14
20006;Alkiza;1,90;1,88
48912;Alonsotegi;1,61;1,56
20906;Altzaga;2,16;2,13
20007;Altzo;2,21;2,28
20008;Amezketa;1,58;1,63
48003;Amorebieta-Etxano;2,01;1,94
48004;Amoroto;1,30;1,30
01002;Amurrio;1,76;1,69
20009;Andoain;1,70;1,63
20010;Anoeta;2,12;2,07
20011;Antzuola;1,87;1,85
48005;Arakaldo;3,23;3,24
20012;Arama;2,16;2,11
01003;Aramaio;1,55;1,51
48006;Arantzazu;2,05;1,90
48093;Areatza;1,87;1,79
20013;Aretxabaleta;1,70;1,67
01006;Armiñón;2,13;1,91
01037;Arraia-Maeztu;1,56;1,46
48009;Arrankudiaga;1,96;1,84
20055;Arrasate/Mondragón;1,41;1,37
48914;Arratzu;1,24;1,17
01008;Arratzua-Ubarrundia;1,81;1,71
48010;Arrieta;1,76;1,81
48011;Arrigorriaga;2,20;2,11
48023;Artea;1,81;1,64
48008;Artzentales;1,37;1,23
01004;Artziniega;2,26;2,06
01009;Asparrena;1,69;1,54
20014;Asteasu;2,31;2,18
20903;Astigarraga;3,28;3,17
20015;Ataun;3,04;2,97
48091;Atxondo;1,56;1,52
48070;Aulesti;0,41;0,39
