Indicadores municipales de sostenibilidad: Hombres ocupados en el sector construcción (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
20032;Elgoibar;5,96;6,07;6,08;5,72
48032;Elorrio;4,28;4,43;5,02;4,38
01023;Elvillar/Bilar;3,75;3,53;3,49;4,60
48902;Erandio;13,91;14,17;14,23;13,34
48033;Ereño;6,76;8,97;8,45;11,94
48034;Ermua;9,37;9,21;9,15;8,39
20067;Errenteria;12,15;12,35;12,93;12,85
20066;Errezil;11,25;13,73;14,38;16,25
01046;Erriberagoitia/Ribera Alta;10,04;9,85;10,28;10,20
48079;Errigoiti;8,00;6,82;6,98;8,33
20034;Eskoriatza;7,99;7,25;7,92;7,00
48029;Etxebarri;13,43;13,32;13,51;13,63
48030;Etxebarria;4,73;1,80;6,08;5,39
20035;Ezkio-Itsaso;7,74;10,30;8,86;10,18
48906;Forua;9,27;8,16;10,40;10,78
48035;Fruiz;7,75;12,00;11,29;12,71
20038;Gabiria;16,78;15,23;16,31;13,19
20037;Gaintza;2,94;5,13;8,33;15,62
48036;Galdakao;8,53;8,59;9,06;8,63
48037;Galdames;11,98;10,55;9,57;9,52
48038;Gamiz-Fika;5,47;5,49;6,08;7,10
48039;Garai;5,43;5,49;5,21;5,26
48040;Gatika;7,30;8,81;8,22;6,23
48041;Gautegiz Arteaga;7,23;6,70;5,88;5,08
20907;Gaztelu;13,95;16,67;17,02;18,60
48046;Gernika-Lumo;10,29;10,08;10,72;9,74
20039;Getaria;5,08;5,57;5,09;5,07
48044;Getxo;6,79;6,74;7,13;7,05
48047;Gizaburuaga;5,26;5,88;7,02;5,45
48042;Gordexola;6,89;6,57;8,27;7,35
48043;Gorliz;8,51;8,06;8,49;9,14
48045;Güeñes;12,32;12,37;12,32;12,36
01056;Harana/Valle de Arana;19,64;17,24;17,54;21,05
20040;Hernani;12,09;12,14;12,45;12,11
20041;Hernialde;13,70;14,49;13,04;16,18
20036;Hondarribia;8,07;7,92;8,71;8,88
20042;Ibarra;8,86;10,15;9,83;9,90
48048;Ibarrangelu;7,22;5,78;6,94;9,33
20043;Idiazabal;7,31;7,24;7,09;6,37
48094;Igorre;8,76;9,83;10,03;8,45
20044;Ikaztegieta;11,65;9,43;7,69;5,93
20045;Irun;11,32;10,99;11,54;11,16
20046;Irura;6,78;7,78;8,06;7,16
01027;Iruraiz-Gauna;6,43;5,95;9,25;7,32
01901;Iruña Oka/Iruña de Oca;9,69;10,08;10,71;11,15
48049;Ispaster;5,33;5,16;5,81;8,81
20047;Itsasondo;7,78;11,95;10,32;12,28
48910;Iurreta;7,37;8,19;8,89;9,06
48050;Izurtza;4,69;5,00;7,58;7,04
48022;Karrantza Harana/Valle de Carranza;11,84;10,70;10,22;10,36
48907;Kortezubi;6,42;8,18;9,09;8,33
01019;Kripan;2,08;2,13;2,56;0,00
01020;Kuartango;10,91;8,18;7,21;8,91
01028;Labastida/Bastida;9,27;7,53;9,36;9,60
01030;Lagrán;11,63;4,65;7,14;10,81
01031;Laguardia;8,35;9,36;8,84;8,11
01032;Lanciego/Lantziego;8,09;9,19;8,09;6,67
48051;Lanestosa;25,49;29,31;25,81;21,67
01902;Lantarón;8,20;7,26;6,85;7,08
01033;Lapuebla de Labarca;7,44;5,34;6,57;5,53
48052;Larrabetzu;6,84;6,65;6,57;6,61
20048;Larraul;9,21;10,96;12,00;11,54
20902;Lasarte-Oria;11,23;11,69;11,93;11,97
01036;Laudio/Llodio;7,11;7,41;8,09;7,27
48053;Laukiz;10,38;8,30;10,04;11,07
20049;Lazkao;9,34;8,87;8,54;8,42
20050;Leaburu;19,39;18,39;22,58;18,75
20051;Legazpi;8,94;8,77;8,35;8,28
20052;Legorreta;11,29;8,70;11,95;9,78
01058;Legutio;6,27;6,36;6,12;5,77
20068;Leintz-Gatzaga;6,15;4,41;4,55;5,48
48054;Leioa;9,12;9,27;9,20;9,08
48057;Lekeitio;6,92;6,77;7,13;6,74
48055;Lemoa;10,40;10,99;9,41;9,25
48056;Lemoiz;12,15;10,73;10,18;10,08
01034;Leza;6,45;5,26;1,96;5,88
48081;Lezama;9,01;8,84;8,75;7,92
20053;Lezo;14,06;13,98;13,66;13,62
20054;Lizartza;14,63;14,56;14,29;12,88
48903;Loiu;8,04;9,12;7,77;6,84
48058;Mallabia;7,19;6,97;7,83;6,95
48060;Markina-Xemein;6,23;6,29;6,22;6,22
48061;Maruri-Jatabe;4,18;4,08;4,02;5,83
48059;Mañaria;12,59;11,59;11,54;10,29
20901;Mendaro;5,91;5,38;6,60;5,75
48062;Mendata;11,76;15,00;19,19;19,09
48063;Mendexa;14,91;14,88;17,27;15,60
48064;Meñaka;11,54;10,98;11,93;8,72
01039;Moreda de Álava / Moreda Araba;5,56;6,25;3,90;3,90
48066;Morga;7,27;8,26;9,00;8,16
48068;Mundaka;7,09;6,92;7,59;8,03
48069;Mungia;7,46;7,74;7,45;7,80
48007;Munitibar-Arbatzegi Gerrikaitz-;11,93;11,11;11,01;11,50
48908;Murueta;8,33;7,79;6,58;6,76
48071;Muskiz;15,23;15,20;14,84;15,54
20057;Mutiloa;10,00;11,11;10,29;11,59
20056;Mutriku;6,59;6,67;7,43;7,16
48067;Muxika;10,63;9,62;8,88;9,06
48909;Nabarniz;15,15;6,45;10,34;10,34
01041;Navaridas;2,99;2,74;4,92;4,76
20063;Oiartzun;11,43;11,67;12,51;12,23
01042;Okondo;9,09;10,71;12,04;12,69
20058;Olaberria;9,88;9,24;9,62;8,75
48073;Ondarroa;4,95;4,64;5,20;5,44
20076;Ordizia;14,93;13,97;14,78;14,20
20905;Orendain;15,15;11,94;7,81;5,56
20060;Orexa;0,00;0,00;0,00;0,00
