Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de trabajo: Hombres (% hombres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48004;Amoroto;119,43;110,86;100,55;109,47;102,92;93,18;85,08;88,76;89,08;87,57;88,00;95,51;92,74;82,97
01002;Amurrio;64,71;63,03;64,09;67,16;66,59;70,15;68,81;66,14;68,09;66,81;68,55;73,29;76,19;74,16
20009;Andoain;47,42;46,74;46,92;48,55;49,79;49,43;48,90;49,22;48,52;50,21;49,28;52,42;53,13;55,06
20010;Anoeta;71,90;70,93;67,51;73,43;68,61;67,71;66,55;65,83;62,94;65,39;67,35;71,90;67,23;71,09
20011;Antzuola;74,89;73,53;73,90;73,85;77,49;74,66;71,09;68,58;69,93;66,37;65,80;69,97;70,68;71,10
48005;Arakaldo;37,68;31,94;31,94;35,62;36,11;40,62;46,77;35,82;101,54;123,33;151,72;170,91;185,45;226,53
20012;Arama;96,25;87,65;86,08;82,72;87,80;89,29;88,51;136,47;141,86;126,97;150,00;159,76;161,25;129,03
01003;Aramaio;23,67;22,64;25,34;26,44;25,23;23,72;23,52;23,87;21,51;21,60;24,18;24,89;22,73;23,25
48006;Arantzazu;26,14;26,11;25,00;31,14;35,85;32,48;36,48;39,86;28,10;29,94;29,03;29,33;27,40;26,62
48093;Areatza;17,57;19,96;19,55;20,77;19,68;17,56;20,33;18,82;18,00;17,63;19,41;27,97;30,00;28,86
20013;Aretxabaleta;37,59;39,31;39,20;40,11;39,79;42,51;40,97;39,53;38,94;39,56;40,14;41,53;39,81;40,70
01006;Armiñón;83,50;87,88;108,51;110,47;118,68;121,43;86,81;90,32;85,42;85,29;91,84;108,79;111,11;105,21
01037;Arraia-Maeztu;28,61;28,80;28,69;30,95;29,45;30,15;31,25;29,82;30,95;26,96;28,45;33,33;36,97;41,00
48009;Arrankudiaga;93,99;90,05;90,10;95,75;96,29;92,67;87,94;92,40;89,08;88,56;116,62;128,10;126,94;134,23
20055;Arrasate/Mondragón;75,94;76,34;73,89;74,90;75,68;74,69;73,73;74,72;73,93;77,34;76,10;76,44;76,18;75,70
48914;Arratzu;30,06;26,63;26,79;26,95;27,06;26,51;24,71;23,39;22,54;23,43;21,39;23,56;36,31;16,95
01008;Arratzua-Ubarrundia;37,55;36,89;32,03;33,06;33,47;30,35;29,11;33,41;32,63;33,91;34,77;35,54;34,94;33,82
48010;Arrieta;19,47;18,18;16,80;17,13;14,90;14,52;15,79;16,67;18,65;19,59;19,92;20,59;22,61;23,53
48011;Arrigorriaga;46,61;47,31;49,43;53,09;52,22;50,90;49,31;47,08;45,67;44,75;45,65;51,64;52,53;54,35
48023;Artea;144,00;133,23;126,81;119,22;113,49;110,49;111,29;100,00;112,62;113,52;124,13;124,15;98,08;51,77
48008;Artzentales;19,09;18,04;19,45;21,54;18,10;15,96;17,11;15,94;17,31;16,97;15,27;18,46;18,23;14,80
01004;Artziniega;33,87;33,38;33,38;28,12;26,19;30,91;34,14;34,66;33,70;30,45;32,15;31,82;35,18;37,38
01009;Asparrena;82,75;80,83;71,37;74,08;78,46;79,63;80,17;80,60;75,64;80,93;79,13;85,38;87,87;83,42
20014;Asteasu;136,35;136,20;136,28;139,10;142,79;141,35;143,68;141,04;130,27;128,82;129,25;136,54;140,77;145,59
20903;Astigarraga;78,19;78,48;78,65;82,80;92,74;92,44;90,78;90,70;91,56;92,03;98,52;112,40;130,05;134,60
20015;Ataun;43,91;46,74;44,41;42,80;37,97;36,05;32,39;31,29;30,22;28,05;28,73;29,90;56,42;60,30
48091;Atxondo;106,89;101,83;99,33;99,50;98,85;100,00;100,16;100,17;100,84;97,68;99,01;100,32;101,92;104,57
48070;Aulesti;24,45;27,47;25,19;23,38;23,21;21,74;20,00;19,64;18,44;16,91;18,60;21,28;25,67;19,86
01010;Ayala/Aiara;46,53;47,03;49,16;48,89;52,28;50,17;53,73;53,26;51,84;75,44;76,00;77,17;78,08;71,57
20017;Azkoitia;54,93;52,62;50,48;51,75;52,51;52,15;52,37;51,21;49,54;44,43;45,13;47,56;49,20;51,30
20018;Azpeitia;60,51;60,11;57,23;57,41;58,42;58,70;57,10;55,87;53,17;54,44;60,86;69,45;69,18;71,99
01049;Añana;35,79;31,73;34,00;36,96;28,12;25,27;24,44;18,68;13,48;16,13;13,95;19,54;18,07;15,66
48012;Bakio;25,83;25,15;24,48;25,02;27,12;26,44;24,81;26,18;24,68;24,69;24,43;25,27;24,79;25,16
20904;Baliarrain;45,61;59,32;58,62;40,68;50,00;47,06;46,43;40,38;26,32;31,37;28,30;30,19;43,14;32,69
48090;Balmaseda;26,78;25,10;23,85;24,48;23,75;24,79;22,66;24,43;25,13;24,25;24,22;26,19;27,58;25,81
48013;Barakaldo;31,84;32,50;32,51;33,32;32,40;32,18;31,74;30,97;30,08;28,70;28,77;29,49;30,44;31,64
48014;Barrika;17,66;20,74;20,43;20,49;20,84;19,06;17,32;15,31;15,95;17,58;16,11;17,86;18,23;18,71
01013;Barrundia;25,89;25,00;22,37;24,12;27,07;27,41;26,72;28,51;28,51;22,25;24,21;25,81;25,45;24,88
48015;Basauri;49,59;49,71;47,51;48,18;48,08;48,62;48,52;49,19;47,43;48,12;50,87;54,50;55,86;57,58
01011;Baños de Ebro/Mañueta;66,27;65,34;68,52;58,58;64,29;70,00;65,00;61,44;66,00;58,60;79,87;198,68;182,05;230,97
20019;Beasain;99,69;100,00;102,03;104,30;104,99;100,02;96,74;96,76;93,51;95,11;94,27;96,73;96,62;96,97
48092;Bedia;172,84;180,65;172,87;172,06;175,17;179,48;179,19;171,26;162,56;148,95;133,41;147,09;143,10;151,11
20020;Beizama;31,15;30,30;31,82;36,76;32,35;31,08;33,80;30,99;34,33;27,94;24,62;19,44;16,87;14,74
20021;Belauntza;286,29;273,81;284,87;297,54;301,74;288,98;268,60;264,23;260,32;252,27;250,75;257,86;251,75;243,70
48016;Berango;21,72;24,17;23,61;25,95;26,72;25,74;28,24;29,34;28,67;30,12;31,51;32,98;33,87;35,00
01014;Berantevilla;328,32;339,13;368,14;404,55;406,33;387,44;389,69;394,57;407,44;411,31;404,55;259,26;255,41;258,18
20022;Berastegi;39,83;40,76;43,29;43,41;42,64;45,81;45,07;46,55;45,19;46,41;46,51;46,51;47,12;47,14
20074;Bergara;49,15;46,94;46,51;46,08;46,48;46,33;48,84;47,78;49,24;48,64;48,74;52,00;52,56;54,66
48017;Bermeo;32,02;32,63;33,03;33,90;33,29;30,16;30,84;31,20;30,52;30,98;31,06;32,08;34,46;37,56
01016;Bernedo;33,10;34,95;38,38;39,64;40,51;41,30;44,69;43,01;43,97;43,06;39,73;41,95;49,66;53,42
48018;Berriatua;116,96;112,14;117,23;120,24;131,75;141,99;141,43;133,64;117,59;116,99;116,30;121,31;115,29;104,49
48019;Berriz;67,39;67,95;66,31;69,79;72,09;70,41;71,10;68,51;65,81;71,64;72,92;73,89;73,93;74,53
20023;Berrobi;22,27;23,32;21,65;19,38;21,65;19,46;18,85;18,85;18,39;19,14;18,29;17,87;18,08;18,87
20024;Bidania-Goiatz;25,75;25,53;24,79;26,16;23,50;25,45;26,34;25,93;26,03;29,55;29,58;30,63;34,22;28,76
48020;Bilbao;59,52;59,02;57,77;58,28;58,38;57,72;56,98;55,83;54,93;54,76;56,19;58,82;59,97;61,01
48021;Busturia;14,39;13,60;14,91;15,30;14,79;14,65;14,85;15,04;14,49;14,03;13,45;15,52;15,34;15,18
01017;Campezo/Kanpezu;40,97;37,19;36,12;40,44;39,47;35,64;35,16;35,71;33,81;35,63;36,52;42,48;43,31;42,53
20029;Deba;76,78;75,66;77,01;77,46;77,04;73,82;77,60;72,89;71,47;70,39;68,55;72,58;72,31;77,04
48901;Derio;233,71;226,96;212,37;233,78;226,32;237,03;231,12;235,58;229,10;227,34;235,36;241,08;222,92;214,60
48026;Dima;26,13;25,51;25,76;27,30;27,99;27,80;23,14;23,22;22,37;25,33;26,92;26,12;22,80;23,82
20069;Donostia / San Sebastián;67,52;66,83;65,94;66,90;67,21;65,71;64,30;63,28;61,66;60,83;61,84;64,19;65,24;64,75
48027;Durango;26,55;26,79;26,40;27,58;29,38;29,46;30,49;29,65;29,10;28,66;28,88;30,28;30,35;29,98
48028;Ea;28,87;28,64;26,33;24,50;20,40;22,17;22,78;21,65;25,19;21,64;22,81;22,77;23,66;21,41
20030;Eibar;35,00;35,01;34,51;36,25;36,44;36,25;35,50;34,45;33,02;32,21;33,53;35,93;37,25;38,71
48031;Elantxobe;15,89;15,33;17,22;12,20;10,98;12,12;10,56;7,23;7,27;6,06;7,23;7,14;7,91;9,09
01021;Elburgo/Burgelu;27,59;26,12;25,68;28,37;27,80;26,90;28,18;28,47;27,74;26,24;28,47;39,64;37,59;42,52
01022;Elciego;93,62;86,18;82,38;95,56;89,36;87,87;83,98;79,81;69,77;77,07;85,30;96,92;99,57;108,08
20031;Elduain;67,03;64,58;67,01;63,64;61,00;61,05;61,70;66,67;64,21;61,05;61,29;61,70;58,33;58,95
20033;Elgeta;102,40;101,74;92,75;96,11;91,89;89,74;89,84;90,27;85,32;87,63;85,57;94,31;102,90;101,85
20032;Elgoibar;76,09;77,65;77,03;79,75;79,06;79,56;77,08;77,13;75,78;76,35;76,34;77,62;76,18;77,01
48032;Elorrio;109,94;110,21;117,41;110,37;107,39;105,82;103,84;101,88;100,59;100,79;105,27;109,86;111,96;110,12
01023;Elvillar/Bilar;62,84;65,54;62,18;64,94;67,53;63,75;53,16;56,94;51,97;48,68;56,77;64,38;71,52;79,01
