Indicadores municipales de sostenibilidad: Porcentaje de establecimientos del sector primario sobre el total (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20012;Arama;20,00;18,52;17,86;13,33;12,50;3,45;7,41;4,17;11,54;11,54;16,00;12,50
01003;Aramaio;28,38;30,26;29,11;30,38;30,77;27,91;28,92;29,07;30,68;34,38;35,42;25,56
48006;Arantzazu;5,26;5,56;5,26;4,35;4,35;4,00;8,00;13,04;11,11;6,25;11,76;11,11
48093;Areatza;9,41;10,26;13,41;13,48;12,64;12,20;13,25;10,13;10,98;10,98;16,05;15,58
20013;Aretxabaleta;2,79;3,11;3,71;4,68;4,46;3,65;3,16;3,12;3,86;4,98;5,98;3,40
01006;Armiñón;35,00;30,00;35,00;40,00;36,36;25,00;21,74;18,18;20,83;17,39;24,00;17,39
01037;Arraia-Maeztu;40,48;42,86;43,16;45,16;47,13;43,68;43,33;44,57;43,96;46,07;42,86;38,64
48009;Arrankudiaga;2,59;1,85;2,70;4,59;5,51;4,10;5,88;4,84;4,84;3,42;5,60;4,51
20055;Arrasate/Mondragón;1,09;1,17;1,24;1,47;1,45;1,51;1,28;1,49;1,82;2,10;3,13;2,48
48914;Arratzu;23,08;25,00;27,27;28,00;30,77;30,77;33,33;32,26;30,00;27,27;28,12;17,24
01008;Arratzua-Ubarrundia;23,26;21,74;26,88;25,25;25,49;26,32;24,21;21,28;17,71;21,05;22,22;23,16
48010;Arrieta;23,68;21,95;25,00;25,00;23,81;19,44;24,32;28,21;31,58;31,58;38,46;32,35
48011;Arrigorriaga;0,13;0,13;0,39;0,38;0,37;0,48;0,70;0,94;0,82;0,83;0,91;0,86
48023;Artea;7,59;6,85;8,22;10,98;9,64;10,13;10,13;8,57;8,82;7,46;10,67;7,35
48008;Artzentales;31,43;34,38;36,11;36,84;37,18;38,27;42,35;43,21;46,43;45,24;44,58;34,21
01004;Artziniega;13,56;12,80;13,93;12,30;14,17;16,13;17,32;16,06;15,60;18,71;20,00;16,90
01009;Asparrena;23,66;23,62;24,60;26,67;26,92;23,44;21,21;20,66;19,17;21,14;19,85;17,05
20014;Asteasu;18,23;18,88;20,79;20,50;21,61;17,26;17,19;16,75;16,84;20,95;20,85;22,02
20903;Astigarraga;2,80;2,77;2,78;2,83;2,72;2,65;2,77;2,70;3,47;3,45;3,91;3,12
20015;Ataun;28,57;31,48;32,43;30,28;28,95;28,44;27,43;33,33;33,33;33,08;35,71;29,41
48091;Atxondo;11,22;11,46;11,76;12,22;10,75;9,78;9,89;10,99;14,58;17,71;19,59;16,67
