Indicadores municipales de sostenibilidad: PIB municipal per cápita (?);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
48001;Abadiño;89.114,00;69.577,00;81.360,00;79.565,00;79.311,00;79.703,00;75.514,00;70.462,00;62.447,00;61.437,00;65.813,00;62.103,00;44.505,00;25.631,00
20001;Abaltzisketa;19.121,00;20.666,00;23.417,00;21.495,00;20.615,00;16.811,00;15.839,00;17.169,00;19.682,00;20.392,00;21.400,00;14.787,00;11.143,00;6.282,00
48002;Abanto y Ciérvana-Abanto Zierbena;33.835,00;32.055,00;34.702,00;32.357,00;30.833,00;29.386,00;28.549,00;27.705,00;28.053,00;28.783,00;32.183,00;26.577,00;18.119,00;13.463,00
20002;Aduna;204.626,00;178.802,00;161.029,00;149.104,00;135.256,00;121.362,00;122.504,00;120.549,00;121.807,00;131.395,00;169.135,00;144.955,00;138.914,00;103.576,00
20016;Aia;38.038,00;35.390,00;38.828,00;36.656,00;35.094,00;34.843,00;31.430,00;31.747,00;32.613,00;36.438,00;44.962,00;48.149,00;26.310,00;17.290,00
20003;Aizarnazabal;108.329,00;70.074,00;77.159,00;60.094,00;56.286,00;50.392,00;50.754,00;48.282,00;46.177,00;60.824,00;66.851,00;72.899,00;52.603,00;40.647,00
48911;Ajangiz;224.256,00;210.086,00;229.615,00;227.566,00;215.759,00;208.093,00;221.363,00;192.192,00;160.405,00;170.083,00;141.778,00;137.063,00;119.111,00;62.683,00
20004;Albiztur;45.132,00;38.285,00;38.790,00;38.117,00;33.660,00;30.296,00;30.718,00;22.362,00;46.282,00;47.155,00;49.831,00;41.052,00;25.473,00;25.041,00
20005;Alegia;29.792,00;26.718,00;25.168,00;24.830,00;23.253,00;22.540,00;23.231,00;21.065,00;23.228,00;18.687,00;18.384,00;18.336,00;15.586,00;8.319,00
01001;Alegría-Dulantzi;16.046,00;14.515,00;15.991,00;15.353,00;14.183,00;17.939,00;15.731,00;16.221,00;21.177,00;22.633,00;28.157,00;26.273,00;25.552,00;23.765,00
20006;Alkiza;12.581,00;11.530,00;13.905,00;12.923,00;12.727,00;13.109,00;11.992,00;12.329,00;13.783,00;14.850,00;13.908,00;16.224,00;14.606,00;13.939,00
48912;Alonsotegi;25.832,00;26.540,00;29.523,00;25.595,00;23.559,00;21.976,00;22.119,00;23.280,00;28.574,00;19.463,00;32.287,00;32.763,00;23.912,00;14.866,00
20906;Altzaga;12.240,00;12.379,00;14.124,00;11.161,00;10.864,00;10.860,00;12.782,00;11.434,00;10.592,00;10.401,00;8.363,00;10.213,00;13.095,00;8.526,00
20007;Altzo;90.708,00;92.249,00;87.348,00;75.645,00;64.160,00;82.612,00;93.796,00;86.644,00;84.178,00;92.862,00;88.834,00;87.729,00;54.773,00;28.888,00
20008;Amezketa;73.429,00;60.758,00;67.654,00;52.304,00;48.883,00;49.170,00;48.315,00;42.176,00;36.304,00;32.819,00;30.685,00;23.039,00;17.530,00;13.034,00
48003;Amorebieta-Etxano;68.924,00;55.746,00;58.464,00;57.716,00;54.763,00;51.535,00;49.818,00;46.831,00;44.380,00;43.163,00;46.743,00;33.272,00;24.781,00;15.918,00
48004;Amoroto;52.312,00;50.236,00;56.801,00;46.505,00;41.098,00;39.269,00;39.017,00;43.233,00;44.110,00;48.778,00;55.280,00;45.490,00;35.749,00;16.845,00
01002;Amurrio;30.948,00;31.222,00;38.831,00;41.054,00;39.196,00;38.418,00;37.137,00;39.788,00;44.169,00;39.140,00;48.245,00;39.172,00;22.769,00;18.735,00
20009;Andoain;30.696,00;30.621,00;34.399,00;33.317,00;32.303,00;32.328,00;29.924,00;31.758,00;28.611,00;29.598,00;28.104,00;24.219,00;18.233,00;14.903,00
20010;Anoeta;32.397,00;31.847,00;34.346,00;31.883,00;38.184,00;34.495,00;29.784,00;30.298,00;36.903,00;27.977,00;27.677,00;23.757,00;25.671,00;17.462,00
20011;Antzuola;37.723,00;34.917,00;36.098,00;34.687,00;37.182,00;37.009,00;35.515,00;34.126,00;34.294,00;35.005,00;38.424,00;35.014,00;31.814,00;23.067,00
48005;Arakaldo;21.971,00;21.471,00;27.935,00;27.084,00;27.299,00;26.561,00;24.500,00;38.007,00;54.962,00;78.212,00;103.207,00;85.457,00;59.191,00;47.564,00
20012;Arama;223.540,00;169.468,00;224.340,00;164.951,00;168.510,00;155.744,00;50.354,00;46.323,00;53.548,00;49.058,00;68.495,00;79.663,00;9.364,00;4.937,00
01003;Aramaio;13.192,00;12.139,00;12.826,00;12.687,00;13.798,00;13.430,00;13.223,00;14.275,00;13.329,00;12.114,00;13.754,00;12.622,00;11.847,00;8.986,00
48006;Arantzazu;14.038,00;13.454,00;15.308,00;15.630,00;16.420,00;15.673,00;15.584,00;12.451,00;12.812,00;12.555,00;21.957,00;17.027,00;15.325,00;9.291,00
48093;Areatza;10.171,00;9.805,00;12.966,00;12.237,00;12.397,00;12.243,00;12.270,00;10.618,00;11.423,00;13.902,00;30.197,00;14.927,00;9.295,00;9.247,00
20013;Aretxabaleta;32.660,00;31.044,00;32.202,00;29.891,00;29.195,00;29.188,00;29.323,00;29.056,00;29.616,00;28.317,00;37.777,00;29.693,00;25.181,00;18.413,00
01006;Armiñón;47.704,00;43.777,00;60.018,00;66.434,00;63.886,00;56.406,00;53.577,00;58.942,00;57.114,00;55.310,00;61.201,00;91.346,00;80.717,00;56.928,00
01037;Arraia-Maeztu;23.556,00;23.513,00;27.582,00;27.424,00;26.029,00;28.487,00;28.116,00;27.235,00;27.699,00;39.326,00;32.122,00;28.958,00;21.318,00;15.121,00
48009;Arrankudiaga;70.074,00;58.269,00;57.861,00;66.760,00;64.260,00;57.058,00;55.231,00;56.078,00;51.466,00;61.708,00;72.634,00;73.002,00;51.226,00;38.444,00
20055;Arrasate/Mondragón;46.502,00;42.865,00;44.527,00;40.848,00;40.202,00;39.329,00;39.493,00;38.694,00;43.331,00;45.278,00;42.416,00;42.058,00;28.187,00;21.803,00
48914;Arratzu;24.890,00;22.578,00;22.332,00;21.605,00;21.809,00;21.951,00;23.802,00;22.929,00;21.569,00;32.000,00;21.421,00;20.129,00;19.687,00;7.301,00
01008;Arratzua-Ubarrundia;28.698,00;26.408,00;28.920,00;27.722,00;22.815,00;24.366,00;25.485,00;25.946,00;30.810,00;28.911,00;26.954,00;41.616,00;36.856,00;25.857,00
48010;Arrieta;13.871,00;13.249,00;15.547,00;12.009,00;11.845,00;11.358,00;12.086,00;11.725,00;13.085,00;13.265,00;14.329,00;10.349,00;7.917,00;6.715,00
48011;Arrigorriaga;26.239,00;24.246,00;30.634,00;29.506,00;26.276,00;24.848,00;23.046,00;23.262,00;23.366,00;25.676,00;27.714,00;26.397,00;19.567,00;13.682,00
48023;Artea;58.051,00;51.488,00;62.519,00;57.798,00;54.605,00;51.854,00;41.650,00;50.402,00;46.730,00;37.937,00;30.643,00;13.993,00;12.767,00;9.164,00
48008;Artzentales;15.239,00;15.509,00;18.331,00;15.539,00;17.702,00;16.398,00;15.569,00;14.164,00;13.757,00;13.049,00;13.962,00;11.470,00;8.793,00;6.063,00
01004;Artziniega;15.521,00;15.905,00;17.062,00;16.019,00;18.899,00;20.827,00;22.387,00;21.350,00;21.039,00;21.878,00;25.161,00;24.137,00;17.275,00;12.733,00
01009;Asparrena;69.805,00;55.569,00;85.402,00;79.043,00;78.526,00;64.844,00;72.700,00;65.428,00;52.170,00;71.002,00;70.474,00;72.959,00;38.119,00;28.164,00
20014;Asteasu;85.189,00;74.741,00;81.462,00;72.877,00;72.899,00;67.599,00;67.040,00;63.535,00;66.967,00;69.470,00;80.847,00;59.472,00;37.664,00;21.517,00
20903;Astigarraga;44.982,00;41.977,00;53.413,00;56.405,00;53.571,00;48.850,00;49.097,00;50.287,00;46.391,00;57.586,00;60.354,00;53.817,00;45.418,00;33.073,00
20015;Ataun;11.833,00;11.314,00;12.447,00;11.973,00;12.193,00;11.878,00;11.016,00;9.711,00;10.452,00;11.534,00;12.717,00;11.884,00;9.013,00;5.650,00
48091;Atxondo;75.908,00;72.265,00;73.192,00;65.777,00;68.453,00;68.161,00;65.810,00;63.244,00;53.629,00;51.608,00;53.608,00;50.812,00;32.064,00;21.982,00
48070;Aulesti;24.698,00;24.188,00;21.714,00;20.298,00;20.327,00;21.335,00;22.015,00;21.388,00;23.185,00;22.437,00;23.373,00;21.263,00;12.356,00;9.569,00
01010;Ayala/Aiara;22.739,00;20.397,00;23.775,00;24.524,00;23.285,00;23.958,00;24.046,00;24.032,00;25.162,00;25.802,00;30.218,00;26.047,00;28.273,00;17.264,00
20017;Azkoitia;36.128,00;30.802,00;33.239,00;35.323,00;29.913,00;29.907,00;28.349,00;27.989,00;24.505,00;25.003,00;26.686,00;20.997,00;16.289,00;11.133,00
20018;Azpeitia;32.401,00;31.210,00;35.571,00;34.729,00;31.161,00;30.176,00;28.807,00;27.696,00;27.711,00;31.323,00;37.311,00;32.990,00;25.052,00;16.093,00
01049;Añana;35.113,00;34.480,00;35.415,00;41.847,00;34.189,00;36.273,00;29.840,00;31.430,00;32.633,00;36.239,00;29.090,00;30.481,00;21.168,00;15.429,00
48012;Bakio;17.960,00;17.792,00;21.306,00;21.932,00;21.383,00;19.845,00;19.671,00;20.637,00;20.823,00;27.069,00;37.674,00;18.377,00;14.458,00;14.647,00
20904;Baliarrain;25.310,00;18.906,00;20.089,00;18.841,00;19.225,00;17.081,00;17.777,00;15.833,00;15.102,00;14.708,00;29.442,00;16.817,00;12.011,00;8.734,00
48090;Balmaseda;17.743,00;17.643,00;19.126,00;17.800,00;18.425,00;19.040,00;19.738,00;17.937,00;18.126,00;19.228,00;23.061,00;17.695,00;14.417,00;7.880,00
48013;Barakaldo;24.496,00;23.325,00;25.031,00;24.608,00;25.153,00;24.403,00;25.057,00;23.798,00;22.145,00;21.659,00;24.399,00;21.222,00;11.994,00;10.120,00
48014;Barrika;15.284,00;13.790,00;16.112,00;14.686,00;14.427,00;14.274,00;14.447,00;14.223,00;13.630,00;12.956,00;14.215,00;13.166,00;12.236,00;10.014,00
01013;Barrundia;14.795,00;13.788,00;15.890,00;17.208,00;15.538,00;16.743,00;17.707,00;15.133,00;16.228,00;15.710,00;16.279,00;16.146,00;17.402,00;14.595,00
48015;Basauri;31.280,00;28.395,00;32.005,00;31.654,00;29.646,00;28.472,00;27.217,00;27.119,00;27.141,00;28.337,00;30.199,00;24.153,00;16.223,00;12.190,00
01011;Baños de Ebro/Mañueta;35.194,00;29.597,00;43.286,00;52.925,00;48.794,00;49.816,00;40.097,00;33.621,00;30.728,00;31.663,00;44.501,00;48.983,00;41.925,00;25.848,00
20019;Beasain;62.838,00;57.533,00;64.305,00;62.076,00;51.699,00;45.128,00;45.327,00;43.828,00;51.761,00;50.422,00;61.136,00;34.386,00;25.368,00;18.193,00
48092;Bedia;46.774,00;43.588,00;53.165,00;46.744,00;46.165,00;48.189,00;42.088,00;42.450,00;56.276,00;63.732,00;80.760,00;54.651,00;42.491,00;31.157,00
20020;Beizama;25.391,00;22.843,00;22.869,00;22.089,00;23.260,00;20.040,00;20.189,00;18.405,00;16.007,00;14.047,00;13.861,00;9.491,00;10.936,00;8.311,00
