Indicadores municipales de sostenibilidad: Hombres beneficiarios de Renta de Garantía de Ingresos (? hombres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
01062;Zambrana;16,67;21,65;13,04;8,62;21,65;17,09;17,78;13,22;17,94;18,02
48905;Zamudio;16,54;14,92;15,67;16,20;14,54;17,81;20,48;20,41;18,06;16,82
48097;Zaratamo;7,53;8,86;8,85;7,48;9,99;14,93;18,80;20,00;22,96;20,18
20079;Zarautz;7,89;6,35;6,00;7,02;6,00;6,26;7,18;8,88;8,64;10,77
48024;Zeanuri;9,77;9,76;9,65;8,12;4,61;7,63;12,46;6,24;6,34;6,34
48025;Zeberio;28,20;20,68;24,39;16,45;20,33;18,73;21,11;24,71;30,02;26,82
20025;Zegama;8,65;7,47;7,54;7,45;7,61;4,98;6,17;7,40;11,08;13,60
20026;Zerain;7,58;7,69;0,00;0,00;0,00;0,00;0,00;0,00;8,40;8,33
20027;Zestoa;21,78;21,51;19,50;23,27;22,59;24,46;25,25;29,85;29,52;23,04
48913;Zierbena;13,87;13,91;17,72;16,07;14,87;12,67;11,32;15,13;17,59;11,21
01018;Zigoitia;4,00;3,05;4,03;0,00;1,09;2,17;2,15;3,19;2,09;7,23
48915;Ziortza-Bolibar;21,55;13,51;17,70;8,81;17,09;12,61;8,13;8,23;4,10;8,06
20028;Zizurkil;19,22;13,04;16,32;17,62;20,42;17,86;18,13;17,38;22,51;22,97
01063;Zuia;9,40;9,54;9,63;8,11;6,57;6,56;7,36;9,01;7,24;5,56
20081;Zumaia;8,98;8,85;9,09;10,49;10,90;12,35;13,83;14,92;14,50;12,86
20080;Zumarraga;21,54;20,58;23,22;22,52;21,94;19,85;18,76;19,60;18,36;18,37
