Codigo comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;450,77;447,86;726,58;657,33;929,52;582,88;533,70;634,17;552,64;658,72;584,82;575,28;471,69;447,37;397,21;580,87;555,08;495,62;519,50
01200;Arabako Lautada / Llanada Alavesa;439,12;484,70;487,10;372,64;548,28;549,33;521,81;483,23;456,64;387,35;340,39;328,34;354,05;388,60;335,17;424,79;457,85;448,77;446,99
01300;Arabako Mendialdea / Monta�a Alavesa;219,57;259,76;258,41;195,36;239,72;254,07;227,50;220,03;260,43;180,17;150,14;175,86;184,32;215,76;183,12;221,98;200,70;173,13;146,72
48100;Arratia Nerbioi / Arratia-Nervi�n;271,50;240,17;296,43;293,73;422,85;369,52;355,20;372,82;346,64;271,04;247,00;254,19;287,08;348,27;355,00;363,14;409,53;403,18;337,22
20200;Bidasoa Beherea / Bajo Bidasoa;223,03;252,34;277,19;247,75;346,11;358,36;336,71;307,15;286,85;259,65;243,53;222,34;225,53;232,77;219,78;274,35;328,18;342,14;318,67
48200;Bilbo Handia / Gran Bilbao;318,48;363,83;393,80;322,85;468,11;467,46;447,81;433,28;402,09;359,33;323,34;328,29;353,67;378,71;315,76;405,02;432,61;418,89;400,63
20100;Deba Beherea / Bajo Deba;224,91;265,02;269,08;206,79;305,19;312,21;310,65;294,41;264,34;223,11;195,86;179,25;191,76;201,41;169,87;206,51;222,43;211,83;199,74
20300;Debagoiena / Alto Deba;289,04;305,37;338,83;232,87;313,26;317,19;313,47;287,26;279,84;230,62;227,41;221,01;267,33;285,19;212,34;315,37;342,60;339,86;336,90
20400;Donostialdea / Donostia-San Sebasti�n;413,03;451,04;449,57;369,46;537,48;523,77;500,00;479,42;445,50;386,41;350,15;354,76;378,78;405,71;365,96;452,92;436,72;443,56;423,81
48300;Durangaldea / Duranguesado;403,22;457,31;478,22;402,58;594,79;604,65;576,01;611,09;553,50;441,26;386,43;353,56;395,89;403,79;281,11;437,75;524,52;502,49;465,69
48400;Enkartazioak / Encartaciones;254,41;288,97;306,21;265,83;352,69;351,64;341,70;335,81;304,00;266,74;229,52;223,03;261,41;272,59;232,15;244,59;250,54;252,48;241,65
01400;Errioxa Arabarra / Rioja Alavesa;1020,65;1297,64;1438,34;1243,12;1744,58;1838,25;1707,33;1834,39;1635,64;1612,30;1384,71;1208,19;1104,92;1461,49;878,31;883,71;740,16;633,42;543,80
48500;Gernika-Bermeo;203,22;214,98;237,52;187,20;264,43;261,62;266,78;254,02;242,82;220,74;183,20;190,01;203,71;206,60;183,28;205,96;227,80;237,94;210,67
20500;Goierri;229,05;245,61;255,20;179,32;226,11;241,14;240,19;220,84;219,94;197,13;161,03;150,74;172,38;205,64;165,34;216,16;237,49;247,32;249,48
01500;Gorbeia Inguruak / Estribaciones del Gorbea;318,27;409,38;356,15;256,53;377,69;385,94;356,78;347,12;319,03;316,88;293,10;333,67;328,53;382,36;293,77;524,53;710,01;562,36;383,96
01600;Kantauri Arabarra / Cant�brica Alavesa;267,51;334,97;425,19;394,72;534,68;551,50;569,64;519,54;552,76;460,93;359,39;357,81;396,38;404,54;340,00;432,92;433,66;414,56;414,40
48600;Markina-Ondarroa;216,57;234,22;257,94;247,66;290,32;295,21;302,82;310,81;306,06;257,06;237,21;249,84;260,73;317,24;305,56;301,89;361,42;409,76;433,53
48700;Plentzia-Mungia;216,72;241,05;255,69;220,95;300,66;284,32;260,36;275,44;259,19;221,75;208,26;212,06;221,40;229,25;204,76;236,00;267,14;259,22;231,27
20600;Tolosaldea / Tolosa;263,46;297,70;316,20;264,93;321,34;323,76;324,31;345,96;383,19;352,48;307,43;278,45;326,59;426,60;342,90;343,35;418,53;426,41;392,70
20700;Urola-Kostaldea / Urola Costa;190,24;225,78;261,55;201,75;293,62;308,86;302,08;305,76;283,40;247,90;224,42;216,94;212,76;227,94;202,60;221,11;228,35;256,90;221,38
